"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Likes,Shares,Comments,Saves,Reach,Follows
18130902409449209,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","We didn’t come to play around…
(Except maybe a quick game of UNO in the business student lounge 😎)

🛍️💸 It’s TAX 👏🏼FREE 👏🏼WEEKEND.

Need recommendations for back to school? This is what’s making it into our carts: 

🖥️ A new laptop (WINDOWS ONLY💥DO NOT BUY A MAC!!!)
📓 Notebooks & supplies (you’re definitely taking notes this semester)
🎒 A backpack that holds your entire life… and psst 👀 a giveaway is coming soon
🧮 A financial calculator (it’s giving ROI)
☂️ An umbrella. We are practical. 
👕 @arkansastech merch from @atu_bookstore 

🧠 What are you buying? Tag us in your haul! 

#TaxFreeWeekend #ATU #ATUBusiness #HeckYeahTechYeah #CollegeLife  #BackToSchool",0,"08/02/2025 08:41",https://www.instagram.com/p/DM26injRF70/,"IG carousel",,Lifetime,7983,109,4,0,0,1428,1
18101054866710606,17841402232063374,carolinewilhelm_,"Caroline Wilhelm","I’m excited to announce my partnership with Russellville Fitness & Nutrition!! 🏋🏻‍♀️🥗👟

RFN is a faith-centered, family gym offering high-intensity training for all fitness levels. Memberships include personalized nutritional guidance so you can reach your goals in the gym and in the kitchen. RFN also offers a variety of class formats with morning and evening times to fit busy schedules.

ATU students!!💚💛 When you sign up under my name, you’ll receive $10 off your monthly plan plus your first week of classes free!

Questions or ready to join? Message me and I’ll get you set up.",0,"10/30/2025 12:07",https://www.instagram.com/p/DQccwkUkZFa/,"IG carousel",,Lifetime,7667,219,0,17,0,,
18209044423309640,17841439506570048,arkansastechjerry,"Jerry the Bulldog","FCCLA stands for Family, Career and Community Leaders of America, but when Jerry makes an appearance at their statewide conference at Arkansas Tech, it can also stand for Fun, Cute, Cuddly...Love Always!
@nationalfccla @arkansasfccla 
@atuedandhealth @atu_business",0,"10/30/2025 08:17",https://www.instagram.com/p/DQcChIhjcQP/,"IG carousel",,Lifetime,10176,181,31,0,0,,
18081038213318530,17841401497413900,karson.hutchins,"Karson Hutchins","Time Out For Tech!! Today was such a fun day getting to meet future ATU students and show them what makes Tech so special!! 💚💛
#go2atu #atubusiness #goodasgold",0,"10/28/2025 15:05",https://www.instagram.com/p/DQXnn50jTkj/,"IG carousel",,Lifetime,5096,190,2,0,0,,
18043283942449765,17841403372800947,nikki_victory,"Nikki Victory","Go for the gold with ATU Business 🌟

Stop by📍Rothwell 138 between ⏰ 10am and 12pm to check out what we have to offer! We hope to see YOU at TOFT. 💛💚

#toft #timeoutfortech #atu #arkansastech #arkansastechuniversity #fighton",64,"10/27/2025 21:31",https://www.instagram.com/reel/DQVu4yEgDzx/,"IG reel",,Lifetime,2056,56,8,0,0,,
18078227033155598,17841402105162969,hannahhhardesty,"💟 hannah hardesty!! 𖦹","homecoming! i truly love getting to be apart of @atudeltazeta and @atu_business !! the best homecoming week ever.",0,"10/25/2025 17:13",https://www.instagram.com/p/DQQH4EIDFSa/,"IG carousel",,Lifetime,4683,118,4,22,0,,
18094923844827594,17841476687553432,rosietheribeter,"Rose Gunther","Here’s my 5 reasons you should come to @arkansastech 

1. @atucampuslife they’re our besties fr 
2. @atuagriculture_tourism what would we do with out our campus cows 
3. @atu_business always giving us business bucks 
4. @arkansastechjerry how can you not love him 
5. @atuathletics roll wonderboys 

#heckyeahtechyeah #arkansastech #collegelife #homecomingweek #atubusiness",9,"10/22/2025 07:59",https://www.instagram.com/reel/DQHY-Y7DfNx/,"IG reel",,Lifetime,7686,197,10,4,0,,
17922613149171086,17841403918223670,ashley_.m,"Ashley Muller ☻","Homecoming!! 💚💛 I have had countless opportunities during my time at Tech and I was so excited to add walking as a homecoming nominee last night to that list! I have had the best education & experiences through @atuaccounting & @atu_business and I was thankful for the opportunity to represent the best college & club on campus!! Thank you @atuaccounting for trusting me as your President the past two years and for the nomination- I am forever thankful for Arkansas Tech!!! 💚💛 
#goodasgold #arkansastech #accounting #homecoming",0,"10/21/2025 08:09",https://www.instagram.com/p/DQE2c8OADmD/,"IG carousel",,Lifetime,4985,165,3,10,0,,
18068891843036328,17841402105162969,hannahhhardesty,"💟 hannah hardesty!! 𖦹","ATU HOMECOMING PEP RALLY!! i had so much fun getting to see all of my gals and support atu!!! @atu_business loves the wonderboys!!",0,"10/20/2025 19:42",https://www.instagram.com/p/DQDg6JHDHyt/,"IG carousel",,Lifetime,5690,135,3,14,0,,
18146476297420523,17841476687553432,rosietheribeter,"Rose Gunther","Are you a banana? 🍌 

Bananas are very special people that many people are not aware of. Please spread awareness by sending this to your friends and family!

Thank you on behalf of all bananas 🙂

#banana #collegelife #homecomingweek #heckyeahtechyeah",42,"10/20/2025 09:15",https://www.instagram.com/reel/DQCX7jgkVUL/,"IG reel",,Lifetime,2680,74,22,6,0,,
17975922845936975,17841476687553432,rosietheribeter,"Rose Gunther","Are you coming? 

Join us on October 20th, 2025.

Grab something to eat with Food trucks starting at 5 with Pep rally at 8 pm in the stadium. Come for games and big prizes! It is going to be Awesome-sauce 😎

#heckyeahtechyeah #arkansastech #homecomingweek",27,"10/19/2025 10:52",https://www.instagram.com/reel/DP_-XeHEca0/,"IG reel",,Lifetime,4105,138,11,6,0,,
18080820734293409,17841407390794753,will_aaron89,"Will Aaron","Thunder Up!

I was lucky enough to tour Paycom Arena and the Oklahoma City Thunder Corporate Office. It was fascinating to go behind the scenes and glance into the business side of an NBA championship team, specifically the social media team. The social media crew was very insightful and welcoming.",0,"10/12/2025 17:05",https://www.instagram.com/p/DPuokw6DKr0/,"IG carousel",,Lifetime,4250,165,0,5,0,,
18081007738957802,17841400496704543,josiahhcarterr,LOVE,"Inside the Champions Arena!

Yesterday I was given the pleasure of being shown around Paycom Arena (Oklahoma City Thunder’s home Arena)! I could not be more thankful for the experience an it is truly crazy to see everything from a behind the scenes corporate perspective!
#okcthunder #atubusiness #goodasgold #accounting #marketing",0,"10/11/2025 11:16",https://www.instagram.com/p/DPrb3rDDzo3/,"IG carousel",,Lifetime,8344,178,3,5,0,,
17982079847914748,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","thunder struck ⚡️

behind every highlight, hashtag, and hype video, there’s a team making it happen. we got a front-row seat with the @okcthunder social media team, learning what it takes to turn creativity into courtside content 🏀

{ #arkansastech #thunderup #okcthunder #loudcity #nba sports marketing, behind the scenes, student experience, sports marketing, sports industry, college life, Thunder Up }",46,"10/10/2025 20:57",https://www.instagram.com/reel/DPp33FYDLCE/,"IG reel",,Lifetime,2249,75,4,1,2,1368,0
18114971347480933,17841451736025184,atufbla,"FBLA Collegiate at Arkansas Tech","It’s showtime, baby 🕷️

We’re partnering with Main Street Russellville for a special screening of Beetlejuice Beetlejuice! Join us FRIDAY at 7:30PM at the Russellville Train Depot for a scary good time 👻

Stop by at 6:30PM for games and popcorn — don’t forget to bring a blanket or chair!

This is a community event, so invite your friends and family 🤍🖤

{ #arkansastech #arfblacollegiate #collegelife #atubusiness #spookyseason #beetlejuice }",12,"10/08/2025 13:00",https://www.instagram.com/reel/DPj5WyzCVcv/,"IG reel",,Lifetime,1165,25,2,0,0,,
18109372438572813,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Hey Upper East Siders, @nikki_victory just made her NYC debut 🌟

Spotted: ATU students learning, networking, and shining bright. xoxo 💚💛

#ATUBusiness #AEFHonorsNight #ANA #NMGZ #NYC",0,"10/07/2025 13:38",https://www.instagram.com/p/DPhY_rsEnqB/,"IG carousel",,Lifetime,4985,188,7,5,0,1256,0
17887092531363535,17841476687553432,rosietheribeter,"Rose Gunther","🎬 One second I’m a lowkey campus spy…
The next? I’m in my Showgirl Era ✨👢💅

Catch the transformation and catch me at the ATU Showgirl Watch Party TONIGHT at 10 PM in the Student Union 💖
Bring your rhinestones, your scream-singing voice, and your best Taylor mood. Let’s sparkle together 🫶

#showgirl #taylorswiftalbum #collegelife #arkansastechuniversity",27,"10/02/2025 10:29",https://www.instagram.com/reel/DPULM1zDzXg/,"IG reel",,Lifetime,1270,48,3,0,0,,
18079149866006215,17841401497413900,karson.hutchins,"Karson Hutchins","@atu_business new shirts available for sale TOMORROW (10/2)!! Stop by the Rothwell lobby from 2:30-4:00!! The shirts are $28 or enter the giveaway that ends at 2:00! 💙

#goodasgold #atubusiness #businesscasual",0,"10/01/2025 18:02",https://www.instagram.com/p/DPSaY1kjEBc/,"IG carousel",,Lifetime,3420,86,3,0,0,,
18020118560760149,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","GIVEAWAY! 

We’re giving away ONE of our limited-edition Business Casual shirts (size Large) before the sale kicks off!

How to enter:

💚 Follow @atu_business 
💛 Like this post
💚 Repost to your feed (share to your story = bonus entry!)

⏰ Giveaway ends Oct. 2 at 2:00 PM. Winner announced right after.

Then don’t miss the real drop ⬇️
📍 Rothwell Lobby
📅 Oct. 2 | 2:30–4:00 PM
⚡ Small–3X available, limited quantity while supplies last.

Warning: this shirt may cause unsolicited compliments.

#ATUBusiness #HeckYeahTechYeah #Giveaway #BusinessCasual",0,"10/01/2025 08:42",https://www.instagram.com/p/DPRaQAtjfv9/,"IG carousel",,Lifetime,7088,97,28,2,2,2745,6
17849950293561535,17841410872455833,wapiti_hunter_oak_mefford,"Wapiti Mefford","Sand, Sun, and some ATU fun ☀️🐚

Huge thanks to our amazing sponsors and everyone who joined us for an unforgettable end-of-summer beach bash!",0,"09/30/2025 19:30",https://www.instagram.com/p/DPP_oU_jsZD/,"IG carousel",,Lifetime,6938,132,8,3,0,,
18069008630252782,17841406801794666,riley_drake12,"Riley Drake","Had a great time hosting bingo with other SHIMA members at the 2025 Beach Bash! There were lots of fun activities outside and inside! Thank you ATU College of Business and Economic Development for putting this together! #arkansastech #healthinformationmanagement #atubusiness",0,"09/30/2025 17:36",https://www.instagram.com/p/DPPylxICHAR/,"IG carousel",,Lifetime,3627,97,0,2,0,,
18343924069201670,17841402105162969,hannahhhardesty,"💟 hannah hardesty!! 𖦹","BEACH BASH!!!! i had soo much fun seeing all of my business pals!! so glad to be apart of @atu_business",0,"09/30/2025 17:07",https://www.instagram.com/p/DPPvRAAjPkq/,"IG carousel",,Lifetime,5646,162,8,21,0,,
17909774745092619,17841400940736097,kaitlyn_nicole_89,"Kaitlyn McGuire","☀️Beach Bash was a Blast☀️

Summer has ended but the fall semester is in full swing🍁🍂 I <3 ATU",0,"09/30/2025 15:54",https://www.instagram.com/p/DPPm9fvjl3_/,"IG carousel",,Lifetime,3496,81,2,1,0,,
18079693390817764,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","[Per Katie’s instructions] — Reminder post for Beach Bash. Event is Tuesday. Keep the copy short, direct, and student-centered. Would mean a lot. Thanks.

If you have any questions, you can probably just email her. She’s always on her phone.",0,"09/29/2025 10:05",https://www.instagram.com/p/DPMaN1BjUAD/,"IG image",,Lifetime,3429,109,3,3,1,887,0
18533072875014925,17841403918223670,ashley_.m,"Ashley Muller ☻","back again with another @atu_business limited edition MERCH DROP!!!! 💛💙
stop by rothwell lobby Thurs. 10/2 2:30-4 pm to get your own: $28 each!! might be a little surprise at family day tomorrow too! 😉 
#goodasgold #arkansastech #business #accounting #merch #businesscasual",0,"09/26/2025 10:20",https://www.instagram.com/p/DPEtg_dAL7c/,"IG carousel",,Lifetime,6148,157,12,4,0,,
18088515265892137,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","GET READY FOR BEACH BASH!🏖️ Say goodbye to summer with one last hoorah 🌊☀️ 

📍Hull Student Union
📆Tuesday Sept. 30th
🕐5-8PM

Bracelet making, tie dye tshirts, bingo, painting, puppies, and more! 🐶🎨

Plus enjoy enjoy cotton candy, s’mores, slushees, and many PRIZES 👀

#endofsummer #beachbash #atubusiness #collegelife #heckyeahtechyeah #campuslife",24,"09/25/2025 11:50",https://www.instagram.com/reel/DPCS3xpkaLM/,"IG reel",,Lifetime,2522,46,13,2,1,1333,1
