"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Comments,Saves,Follows
18316025221220635,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","It’s that time of the year!! ⏳ give yourself a pat on the back for surviving 2025 👏

#collegelife #arkansastech #finals",0,"12/05/2025 10:34",https://www.instagram.com/p/DR5FrR7ETI6/,"IG carousel",,Lifetime,15206,4478,510,61,3,7,0
18388285438084648,17841406801794666,riley_drake12,"Riley Drake","ArHIMA 2026 Convention!! We got to listen to some great guest speakers discussing stress management, conversation starters, and AI implementation into health information. I’m glad I got to experience this opportunity with my classmates!
#healthinformationmanagement #atubusiness",0,"04/02/2026 17:52",https://www.instagram.com/p/DWpmrJElmpc/,"IG carousel",,Lifetime,1718,647,67,0,1,0,
18198633673348167,17841478710597205,atustemcollege,"ATU College of STEM","April Fools, @atu_business + @atustemcollege switched on you 🔁📚

Today, Piper traded Marketing Instructor Liv Johnson lab goggles for strategy development… and let’s just say, SWOT analysis feels a little different than the scientific method 👀📊

From labs to lectures, we kept it just* professional enough 😉

Head over to @atu_business page to see how Liv handled teaching Survey of Chem 👀

#aprilfools #womeninbusiness #marketing #atustem",27,"04/01/2026 16:13",https://www.instagram.com/reel/DWm18ftjEp9/,"IG reel",,Lifetime,4855,3578,99,4,0,0,
18076630694531306,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Good As Gold Ambassador applications are LIVE! Run to apply—they close April 10th. 

Who can apply?
- Business majors
- Agriculture majors
- Tourism majors

Apply through the link in our bio!",0,"04/01/2026 15:00",https://www.instagram.com/p/DWmuMS8lfoJ/,"IG carousel",,Lifetime,3484,1408,70,14,3,1,0
18159529489429352,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Crossover alert 🧪📈

Marketing Instructor Liv Johnson attempted to teach Survey of Chemistry today, and let’s just say the marketing mix does NOT include test tubes…

Keep an eye on @atustemcollege for Piper’s visit to Principles of Marketing 👀

#AprilFools #WomeninSTEM #CampusLife",36,"04/01/2026 11:42",https://www.instagram.com/reel/DWmXUtikqQN/,"IG reel",,Lifetime,8611,6445,262,37,8,9,2
18091238888128281,17841476687553432,rosietheribeter,"Rose Gunther","Live from New York! 🏙️🗽

From the top of the Empire State Building to the lights of Times Square, ferry rides to the Statue of Liberty, and even a little extra sweetness at the Museum of Ice Cream 🍦… this trip was one for the books!

But the real highlight? The people
A group that got along effortlessly, laughed nonstop, and somehow turned travel chaos (shoutout to that canceled flight 😅✈️) into just another memory.

So thankful for every single student who made this trip unforgettable, the powerhouse advisors who kept us safe and had fun with us, and all the dedicated staff at ATU who make opportunities like this possible!

And most importantly, thank you God for safe travels and bringing us home ❤️

#nyctrip #CollegeTravel #StudentLife #heckyeahtechyeah",68,"03/31/2026 14:15",https://www.instagram.com/reel/DWkEJmvj7D4/,"IG reel",,Lifetime,4995,2937,91,4,4,0,
18086591987217419,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Cash Cow’s Egg Hunt is BACK with a new twist 🐣

Thursday, April 2nd • 9AM-3PM
✨ Use the hints posted in Dean, Rothwell, and on our socials to find the FOUR locations where Cash Cow is hiding.
✨ Take a selfie with Cash Cow each time you find her! She will ONLY be found in Rothwell and Dean. 
✨ Bring your pictures to RTH 432 to collect your business bucks.
‼️ Each location is worth 50 bucks, so if you find her in all FOUR spots, you’ll receive 200 bucks!

⭐️ GOLDEN EGG ⭐️
The first TEN students to find Cash Cow’s golden egg and bring their selfie to RTH 432 will receive a special tote bag!

Are you ready for an EGG-citing time?

#easteregghunt #collegelife #alysaliu",8,"03/30/2026 10:50",https://www.instagram.com/reel/DWhGkyTEmiK/,"IG reel",,Lifetime,2422,1850,44,6,0,0,0
18046360148519133,17841413035758083,arkansastechglobal,"Arkansas Tech Global","Experience a world of opportunity and a learning curve like no other. Visit atu.edu/studyabroad to learn more!",15,"03/27/2026 08:47",https://www.instagram.com/reel/DWZLEGsEZqF/,"IG reel",,Lifetime,1079,695,40,1,3,0,
17912759817163903,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","This will be… the best market research trip ever. 🎶💎

Us: We’re just popping in for a routine “internal audit.”
Also Us: 😏💅🏻💸✨

We caught up with @travis.martin47 managing the natural diamond sale at @joshuasfinejewelry, and let’s just say: the KPIs are soaring, the diamonds are sparkling, and the ROI (Rizz On Investment) is off the charts. 📈 

Secure the everlasting shine while the sale 
lasts! 💍

#atubusiness #shopsmall #shoplocal #heckyeahtechyeah #marketing",0,"03/25/2026 16:05",https://www.instagram.com/reel/DWUz259ktNM/,"IG reel",,Lifetime,1127,654,33,0,2,1,0
17933333055197925,17841402105162969,hannahhhardesty,"💟 hannah hardesty!! 𖦹","HAPPY BIRTHDAY TO THE NEW FERGUSON STUDENT UNION!!

had so much fun watching the opening of the new union and celebrating with @atu_business & @atudeltazeta 💖",0,"03/19/2026 13:55",https://www.instagram.com/p/DWFIdaMj0tx/,"IG carousel",,Lifetime,3268,1102,145,2,11,0,
17887208142453262,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Core memories from Ferguson Student Union opening day ✨

We started the day at the 25th Annual Distinguished Speaker Series with Cindi Ferguson, enjoyed lunch thanks to Kinco Construction, and closed out with the Ferguson Union Dedication. It was great day at Arkansas Tech 💚💛 

#arkansastech #collegestudent #raybanmeta",45,"03/18/2026 16:00",https://www.instagram.com/reel/DWCxG_9EqFc/,"IG reel",,Lifetime,4702,2431,127,17,1,2,2
