"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Likes,Shares,Comments,Saves,Reach,Follows
,,,,,,,,,"An error occurred while computing metadata for content with ID 17981441249667255. An error occurred while computing metrics.",-,,,,,,,
18052139996202659,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Don’t show up looking like you got dressed in the dark! 🌚@atucareercloset is here to help! 🙌🏼

Need the perfect look for an interview, internship, or presentation? If you need the fit, they’ve got you covered. The ATU Career Closet is officially open in the Energy Center room 139! It’s free to rent, easy to access, and here to help you dress for success.

How to book:
Head to OneTech, send them an email, or DM them on Instagram to make an appointment!

Want to donate?
Drop-off locations: Rothwell, Brown, and the Energy Center. 👔👗👞

We each had 2 minutes to put together the perfect outfit. Head to our stories to vote! ✨

#ATUCareerCloset #DressForSuccess #BusinessProfessional #BusinessCasual #ATUStyle #CollegeLife #HeckYeahTechYeah #ATUBusiness #WeMeanBusiness",46,"04/30/2025 13:36",https://www.instagram.com/reel/DJFZK2IxaWw/,"IG reel",,Lifetime,3125,80,5,1,3,1732,0
18053472704221156,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Applications for the Good as Gold Ambassadors are OPEN! We’re looking for business, agriculture, and tourism students in good academic standing who are ready to shine and represent the brand image of the College of Business and Economic Development ⭐️

As a Good as Gold Ambassador, you’ll share your experiences and opportunities through monthly social media posts and get rewarded for it! Earn a scholarship, business bucks, early registration, and experiential learning credits!

Apply today through the link in our bio 🔗 Applications close Friday, May 9th! Don’t miss out 💚💛

#GoodasGold #ATUBusiness #ArkansasTech #CampusAmbassador #SocialMediaMarketing #BusinessStudent #AgricultureStudent #TourismStudent #CollegeLife 
#HeckYeahTechYeah",13,"04/28/2025 11:26",https://www.instagram.com/reel/DJABAh_v-qc/,"IG reel",,Lifetime,4113,58,8,5,0,2350,0
18027716822450960,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Big wins, big dreams, and even bigger futures ahead! 💚💛

We had the BEST time celebrating our incredible students at our annual awards ceremony. 🏆

Thanks to our amazing alumni, donors, and friends for making this possible for our students.

If you’re thinking about what’s next, @atugradcollege is ready when you are!

We’re proud of you. We’re cheering for you. And we can’t wait to see whats next for you. (cough, cough, MBA?) 👀

#ATUBusiness #WeMeanBusiness #FutureLeaders #Graduation #MBAJourney",0,"04/26/2025 13:19",https://www.instagram.com/p/DI7EcFaxL3K/,"IG carousel",,Lifetime,8233,201,11,0,2,4142,1
18171293053332229,17841400496704543,josiahhcarterr,LOVE,"Great time at the School of Business Banquet! Crazy to believe I’m going into my senior year of college already😅

#goodasgold #heckyeatechyea #atubusiness #accounting",0,"04/25/2025 10:58",https://www.instagram.com/p/DI4PcVjxCfK/,"IG carousel",,Lifetime,10987,243,9,11,0,,
18041718098203184,17841400314558589,atuagriculture_tourism,"ATU Department of Agriculture and Tourism","🪴Annual Plant Sale!🪴

Thank you to our wonderful supporters and amazing student volunteers for making today a success!

💛HECK YEAH TECH YEAH💚

#agriculture #arkansastech #atuagriculture #arkansas #ag #plants",10,"04/24/2025 08:59",https://www.instagram.com/reel/DI1aFQzxmsG/,"IG reel",,Lifetime,2338,57,0,0,0,1386,0
17876523561310301,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","They understood the assignment 📚

From side hustles to startups, our Entrepreneurial Development students crushed it at the Business Plan Pitch Competition at @cocreate_innovationhub 💼💡

Swipe to see the hustle, the heart, and the future of business 🔥 Which pitch would you invest in? 

#ATUbusiness #heckyeahtechyeah #collegelife #entrepreneur #smallbusiness #startup",0,"04/23/2025 15:02",https://www.instagram.com/p/DIzhzn-x5Qz/,"IG carousel",,Lifetime,2641,104,10,4,0,1243,0
18121038361453240,17841403918223670,ashley_.m,"Ashley Muller ☻","Tonight was the 63rd annual Accounting Club Banquet! 💚 
I have learned so much & had lots of great experiences as president this year! It was amazing having the club, our professors, and alum all together tonight!💚 #goodasgold #accounting #arkansastech #madampres",0,"04/22/2025 18:06",https://www.instagram.com/p/DIxSFePuulM/,"IG carousel",,Lifetime,5724,160,2,8,0,,
18165634033339465,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Business is BOOMIN’! 💰🐮

Students cashed in their Business Bucks at Cash Cow’s auction today and walked away with some major prizes.

Our auction keeps getting bigger and better every semester! Remember, Business Bucks renew each semester, so if you missed out this time, you get a fresh start in the fall!

Let us know what kind of prizes you want to see at the next auction👇🏼

#BusinessBucks #CashCow #HeckYeahTechYeah #CollegeLife #Auction",0,"04/22/2025 14:44",https://www.instagram.com/p/DIw67TjRiGJ/,"IG carousel",,Lifetime,4051,104,9,6,0,1438,0
18027132695433740,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Hoppin’ into Easter with Cash Cow 🐰 Students hunted for eggs and cashed them in for Business Bucks! Who says fun can’t be profitable? 

#ArkansasTech #ATUBusiness #Easter #HeckYeahTechYeah #BusinessStudent",0,"04/20/2025 12:00",https://www.instagram.com/p/DIremrFvHd6/,"IG carousel",,Lifetime,1572,70,1,0,1,661,0
18000143069766026,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","💸 Spend ‘em if you got ‘em! 

Cash Cow’s Business Buck Auction is Tuesday, April 22nd at 2 PM. Join us in Rothwell 138 and bid ‘til you’re broke! This is a sneak peek at only some of the items that will be up for auction next week. 🐮

If you can’t make the auction but still want to bid, you can choose to send someone you trust with your Business Bucks to bid on your behalf! 

What do you have your eye on? Comment your favorite item below! 🔥

#BusinessBucks #CashCow #CollegeLife #Auction #HeckYeahTechYeah #Bid #atubusiness #arkansastech #trendreels #apple #hasbullah #drone",15,"04/18/2025 12:20",https://www.instagram.com/reel/DImWsJVxpZz/,"IG reel",,Lifetime,1415,46,1,2,1,769,0
17875713021318677,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Not your average business trip ✈️

#NMGZ #Boston #Networking #Travel #CollegLife #SharkNinja #Macys #MullenLowe #Converse",25,"04/17/2025 15:55",https://www.instagram.com/reel/DIkKycKx2iI/,"IG reel",,Lifetime,3260,93,4,5,2,2022,0
