"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,"Profile visits",Replies,Navigation,"Sticker taps","Link clicks"
18080138659896015,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","come trick or treat TODAY from 1-3PM on Rothwell 4th floor! bring your own bag!
costumes encouraged but not required 👻",20,"10/31/2025 09:08",,"IG story",,Lifetime,1551,1095,6,0,1,0,253,,
18057511727267450,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Tell us what influences you and keeps you coming back to ATU! 100% anonymous Student Survey!",0,"10/31/2025 08:54",,"IG story",,Lifetime,281,231,3,0,,0,254,,3
17970849443806434,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,3,"10/30/2025 14:33",,"IG story",,Lifetime,304,228,1,0,,0,227,14,
18071798693192525,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/30/2025 12:42",,"IG story",,Lifetime,295,242,1,0,3,0,268,,
18202756984316971,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","WHO CAN SAY NO TO CANDY  #TRICKORTREAT #COLA2025",8,"10/30/2025 10:18",,"IG story",,Lifetime,468,371,1,0,2,0,290,,
18065116061379374,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","& WE CAN’T FORGET ABOUT OUR ACADEMIC ADVISING TEAM",0,"10/30/2025 10:11",,"IG story",,Lifetime,327,262,1,0,,0,307,,
17902856322296784,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/30/2025 10:08",,"IG story",,Lifetime,326,263,0,0,,0,298,,
18078907697512321,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Cant forget about our beloved ATU student  CANDY + BU$INE$$ BUCKS",0,"10/30/2025 10:06",,"IG story",,Lifetime,347,269,1,0,,0,319,,
18143838967436241,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Cash cow saying hi to FCCLA student I think the crowd was a bit confused 🤭🐄💵",5,"10/30/2025 09:35",,"IG story",,Lifetime,360,272,2,0,,0,251,,
17919229680190552,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",@fccla_makinzee.may,0,"10/30/2025 08:52",,"IG story",,Lifetime,360,284,3,0,2,0,339,4,
18092664817894909,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Shoutout group 7!! #cola2025",0,"10/30/2025 08:50",,"IG story",,Lifetime,694,486,4,0,,0,359,,
18057143993257249,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Group 3 & 8 looking good 🤩✍️",0,"10/30/2025 08:12",,"IG story",,Lifetime,705,486,3,0,1,0,348,,
18010836605636579,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","The awesome ATU FCCLA exec board + president Jones @atuedandhealth  @arkansasfccla",0,"10/30/2025 07:40",,"IG story",,Lifetime,1929,1294,3,0,1,0,342,4,
17904782316271247,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","#cola2025  Let Begin! @atuedandhealth @arkansasfccla",3,"10/30/2025 07:35",,"IG story",,Lifetime,1883,1335,2,0,,0,303,2,
17911821492250345,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Check In FCCLA",0,"10/30/2025 07:14",,"IG story",,Lifetime,784,539,1,0,,0,367,,
18094933990812627,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Check In FCCLA",0,"10/30/2025 07:09",,"IG story",,Lifetime,2046,1438,5,0,6,0,362,,
17847115095594593,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Career connection at noon! Free Pasta Grill for lunch 🍝",0,"10/29/2025 09:48",,"IG story",,Lifetime,415,315,2,1,1,0,369,,
18062989850572196,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/29/2025 09:15",https://instagram.com/stories/atu_business/3754191436099971592,"IG story",,Lifetime,404,327,2,0,,0,374,,
18052256783653352,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Project LEAD Luncheon
Happening now in Rothwell 138!",0,"10/29/2025 09:09",,"IG story",,Lifetime,501,374,4,0,,0,385,,
17863934919501542,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Accounting Club Bake Sale
Everything is $1
Cashapp accepted!
👻",0,"10/29/2025 07:12",,"IG story",,Lifetime,2489,1763,6,0,,0,373,,
18160149928387535,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/28/2025 14:55",https://instagram.com/stories/atu_business/3753637949427494597,"IG story",,Lifetime,352,278,3,0,,0,313,,
18077762699152264,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/28/2025 12:32",https://instagram.com/stories/atu_business/3753566086580302679,"IG story",,Lifetime,347,275,3,0,1,0,307,4,
17951785920040064,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/28/2025 10:17",https://instagram.com/stories/atu_business/3753498054860277258,"IG story",,Lifetime,332,267,4,1,,0,309,,
17948030109024045,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/28/2025 10:16",https://instagram.com/stories/atu_business/3753497692606687494,"IG story",,Lifetime,336,272,4,0,,0,312,,
17990035721894002,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/28/2025 10:07",https://instagram.com/stories/atu_business/3753493194173645668,"IG story",,Lifetime,352,281,2,0,,0,316,,
