"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Replies,Navigation,"Profile visits","Sticker taps","Link clicks",Follows
18060582452042156,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"04/08/2025 09:05",https://instagram.com/stories/atu_business/3606332431692590484,"IG story",,Lifetime,209,163,1,0,0,229,1,,,
18102269428508834,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,46,"04/30/2025 13:49",,"IG story",,Lifetime,213,201,0,0,0,224,,,,
18206233426306315,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Our students are working hard on their final presentations! Excel Quest: BUAD 2003",0,"04/29/2025 12:22",,"IG story",,Lifetime,406,395,4,1,0,447,1,,,
18080052898775484,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"04/29/2025 08:36",,"IG story",,Lifetime,346,333,6,0,0,405,,,,
17970647045851579,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"04/28/2025 21:19",,"IG story",,Lifetime,285,270,3,0,0,286,,,,
18098031307528299,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Vote for COBED senator in the
SGA election!",0,"04/28/2025 13:53",,"IG story",,Lifetime,380,317,4,1,0,259,1,,,
18158297422359092,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,13,"04/28/2025 11:40",,"IG story",,Lifetime,239,222,2,0,0,225,1,,4,
18091234534582074,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",@atucareers,0,"04/28/2025 11:06",,"IG story",,Lifetime,319,284,2,0,0,294,,8,,
18061913465088227,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Grand opening of @atucareercloset!  These students did an amazing job bringing the Career Closet to life!",5,"04/28/2025 10:30",,"IG story",,Lifetime,282,256,3,0,0,202,1,14,,
18493994695023540,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","but first we went to downtown bentonville to kill some time before some of their flights",0,"04/27/2025 15:45",https://instagram.com/stories/atu_business/3620304578961419458,"IG story",,Lifetime,252,232,1,0,0,281,2,,,
18298422826245064,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Breakout Sessions were very informativeeeee and had to say our goodbyes 😔",0,"04/27/2025 15:45",https://instagram.com/stories/atu_business/3620304112697282739,"IG story",,Lifetime,271,241,3,0,0,289,1,,,
18270381643272839,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"04/27/2025 07:48",,"IG story",,Lifetime,247,210,3,0,0,287,,,,
18495272161063797,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","last day!! Breakfast  Interview Prep Lunch Downtown Bentonville End of Summit!",0,"04/27/2025 05:46",https://instagram.com/stories/atu_business/3620002987726194494,"IG story",,Lifetime,253,226,1,0,0,249,,,,
18079943767739054,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","-Food
-Bounce House
-Archery
-Basketball
-Game Room
-Movie
-Mini Golf
-Games
-And More! ended the day off with a “carnival” that included:",8,"04/26/2025 18:33",https://instagram.com/stories/atu_business/3619664280740258483,"IG story",,Lifetime,230,194,1,0,0,235,,,,
18141948346385045,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",@dannyant,9,"04/26/2025 18:25",https://instagram.com/stories/atu_business/3619659905351332520,"IG story",,Lifetime,235,200,1,0,0,249,,20,,
18083730988648893,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","After Walmart Home Office Tour nice little walk",0,"04/26/2025 18:20",https://instagram.com/stories/atu_business/3619657786246432905,"IG story",,Lifetime,248,207,1,0,0,294,,4,,
