"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,"Profile visits",Replies,Navigation,"Link clicks","Sticker taps"
18052134263419692,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"07/31/2025 10:44",https://instagram.com/stories/atu_business/3689006627383781611,"IG story",,Lifetime,228,185,3,0,,0,182,,
18049064915235274,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"07/30/2025 15:39",https://instagram.com/stories/atu_business/3688430260883658332,"IG story",,Lifetime,323,254,2,0,,0,268,,3
18066041237332808,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"07/30/2025 09:14",https://instagram.com/stories/atu_business/3688236293827143370,"IG story",,Lifetime,333,250,4,0,1,0,277,,
18097272448549070,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"07/29/2025 12:23",https://instagram.com/stories/atu_business/3687606951959014953,"IG story",,Lifetime,348,255,5,0,,0,315,,
17990461751684719,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"07/29/2025 10:10",,"IG story",,Lifetime,539,314,1,0,1,0,399,,
17935220952062799,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Raise your hand if you’ve ever been personally victimized by a printer…",3,"07/29/2025 08:38",,"IG story",,Lifetime,403,255,5,0,1,0,279,,
18062550830248273,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Internship spotlight",15,"07/28/2025 17:10",,"IG story",,Lifetime,261,185,1,3,,0,231,,
18072518474296514,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"07/24/2025 14:49",,"IG story",,Lifetime,336,264,14,1,2,1,309,,
18304622002221266,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Be a VIP!
APPLY FOR FREE!",0,"07/23/2025 10:48",,"IG story",,Lifetime,211,150,3,3,,0,180,5,
18048808232215389,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,44,"07/22/2025 15:00",https://instagram.com/stories/atu_business/3682614274463876430,"IG story",,Lifetime,192,159,0,0,4,0,149,,
18513138406031843,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,53,"07/22/2025 14:17",https://instagram.com/stories/atu_business/3682590965048622586,"IG story",,Lifetime,187,162,0,0,,0,152,,
17971375376869465,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,46,"07/22/2025 13:00",https://instagram.com/stories/atu_business/3682552081946362550,"IG story",,Lifetime,204,170,3,0,,0,156,,
18403294156116358,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,53,"07/22/2025 09:26",https://instagram.com/stories/atu_business/3682446287270213638,"IG story",,Lifetime,224,187,0,0,2,0,174,,
18036757823670895,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,21,"07/22/2025 09:13",https://instagram.com/stories/atu_business/3682437955444551164,"IG story",,Lifetime,248,196,1,0,3,0,186,,
18038366543651974,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,23,"07/22/2025 07:28",https://instagram.com/stories/atu_business/3682384766980817712,"IG story",,Lifetime,311,228,4,1,,0,215,,
18097672828608427,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"07/16/2025 08:03",https://instagram.com/stories/atu_business/3678053755921827944,"IG story",,Lifetime,310,218,3,0,,0,262,,
18050052803618875,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"07/15/2025 17:53",https://instagram.com/stories/atu_business/3677625832605808288,"IG story",,Lifetime,347,261,3,4,,0,319,,2
18517337602003790,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Apply for admission
July 23rd Get cool merch!",15,"07/10/2025 14:55",,"IG story",,Lifetime,195,157,2,0,,0,184,,
18046415288542801,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"07/10/2025 12:43",,"IG story",,Lifetime,213,185,0,0,,0,,,
17915561550115733,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"07/10/2025 12:43",,"IG story",,Lifetime,238,196,0,0,,0,232,,
18069683159031544,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"07/10/2025 12:33",,"IG story",,Lifetime,256,211,0,1,,0,235,,
18073314049800491,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"07/09/2025 19:02",,"IG story",,Lifetime,263,216,0,0,1,0,227,,
17842571892533532,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"07/09/2025 12:13",,"IG story",,Lifetime,263,220,1,0,1,0,247,,2
17885592597315004,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"07/09/2025 11:33",,"IG story",,Lifetime,252,214,0,0,,0,,,
17974973555885240,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"07/09/2025 09:12",,"IG story",,Lifetime,303,220,0,,,,268,,
17846844885492619,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"07/09/2025 09:12",,"IG story",,Lifetime,280,223,0,0,,0,,,
17854817634469759,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,9,"07/09/2025 09:12",,"IG story",,Lifetime,293,230,1,0,,0,286,,2
17850569664500790,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"07/09/2025 09:11",,"IG story",,Lifetime,302,245,1,0,,0,277,,1
