UV,Log10APC
0.1881,3.089905111
0.2613,5.280008953
0.2572,4.019946682
0.1493,2.799340549
0.0805,2.77815125
0.1985,2.431363764
0.1437,4.10002573
0.1534,3.350248018
0.1277,2.397940009
0.2241,3.269512944
0.1717,3.589949601
0.1791,2.612783857
0.2341,4.180125875
0.1168,3.559906625
0.369,5.760000047
0.014,2.662757832
0.1729,2.69019608
0.1393,2.633468456
0,2.491361694
0.2503,4.880012838
0.1505,2.301029996
0.0687,2.414973348
0.1521,3.290034611
0.2137,2.763427994
0.0613,1.954242509
0.1612,2.770852012
0.0848,2.968482949
0.171,2.799340549
0.0675,1
0.2306,4.150142162
0.1849,2.113943352
0.0525,2.612783857
0.0277,2.544068044
0.129,2.716003344
0.2244,3.220108088
0.241,3.800029359
0.0944,2.176091259
0.1481,3.609594409
0.1696,2.698970004
0.1477,2.322219295
0.0911,2.397940009
0.1923,3.51054501
0.1367,3.041392685
0.2639,5.309991929
0.1025,1.301029996
0.2877,4.569958818
0.0922,3.630427875
0.2181,4.700011062
0.0652,2.851258349
0.3215,5.309991929
0.0568,2.176091259
0.1391,3.068185862
0.2319,3.559906625
0.1873,2.959041392
0.1752,2.857332496
0.1131,2.278753601
0.2404,2.919078092
0.0667,2.851258349
0.1293,2.892094603
0.2098,2.681241237
0.356,5.280008953
0.0977,2.939519253
0.094,2.380211242
0.1652,3.42975228
0.1442,3.008600172
0.1309,3.068185862
0.1372,2.491361694
0.1647,3.06069784
0.1809,3.359835482
0.0572,1.602059991
0.2557,4.390051496
0.1359,1.954242509
0.1564,3.969881644
0.1569,2.505149978
0.121,2.949390007
0.1809,5.029992175
0.1179,2.880813592
0.214,2.919078092
0.1537,3.820201459
0.182,4.400019635
0.2015,3.068185862
0.1091,1.477121255
0.2267,3.149219113
0.1549,3.320146286
0.2313,5.340007618
0.1913,3.889861721
0.1358,3.250420002
0.1762,4.169968174
0.1642,2.908485019
0.1418,2.662757832
0.2229,3.910090546
0.069,2.447158031
0.2363,3.579783597
0.0782,1.301029996
0.1346,2.62324929
0.2406,3.519827994
0,1
0.1314,1.84509804
0.1047,2.579783597
