Store,Type,PredictedSales,EndSales
1146,Automated,52968.56,67189.92868
5847,Automated,47649.65,44918.81228
3173,Automated,54852.35,67545.46105
9302,Automated,53651.7,67813.3781
6424,Automated,54886.6,57530.59575
7293,Automated,40589.79,48220.65727
2017,Automated,49315.09,71822.70403
7518,Automated,38748.27,37634.36591
2185,Automated,34308.75,45355.10914
2628,Automated,59063.19,76988.38401
8505,Automated,61254.62,83349.35981
6593,Automated,64295.17,70372.2197
5464,Automated,52443.12,61017.5539
2843,Automated,44776.06,40881.88179
8307,Automated,65141.18,75144.86483
6864,Automated,43523.76,52632.87415
3102,Automated,61056.61,72561.9789
3974,Automated,42068.06,47482.83617
9428,Automated,61751.61,73983.22494
7940,Automated,36779.14,44922.56992
9974,Automated,60033.03,77711.67875
4202,Automated,42985.55,39666.39072
2495,Automated,51150,60863.66327
9648,Automated,36942.52,43044.98529
3532,Automated,53930.84,67114.62795
1316,Traditional,32574.39,40213.18119
2704,Traditional,26193.76,42481.058
4564,Traditional,48655.11,57715.85898
2763,Traditional,67214.92,81340.80542
7862,Traditional,46380.61,55298.83994
2755,Traditional,51580.29,72683.44673
2358,Traditional,35192.05,46137.16664
5209,Traditional,58784.26,73673.32196
3189,Traditional,53986.04,70742.11188
7257,Traditional,47301.27,62998.65614
3533,Traditional,58257.3,73218.71235
2493,Traditional,50084.9,49487.45454
3785,Traditional,58525.56,72727.62356
4706,Traditional,51933.29,64166.71568
9498,Traditional,33701.3,33161.58693
8637,Traditional,54781.71,69635.42
7854,Traditional,41491.86,50456.6323
7572,Traditional,44234.87,47911.198
3817,Traditional,46440.31,53844.12685
6978,Traditional,24037.31,32791.80456
7549,Traditional,49194.09,57883.85822
9529,Traditional,47775.99,57529.6521
2373,Traditional,59961.08,71953.04437
5270,Traditional,49738.27,57598.31541
3170,Traditional,64905.73,80887.64401
