Attendance,FinalGrade
95.12195122,92.90609756
100,83.165
100,78.005
100,91.35
92.68292683,84.88414634
100,71.865
48.7804878,81.95402439
80.48780488,72.89939024
95.12195122,75.14609756
97.56097561,92.47804878
78.04878049,77.72243902
34.14634146,70.15731707
100,95.93
100,91.56
87.80487805,81.5002439
100,91.745
100,92.43
100,69.16
68.29268293,72.76963415
100,99.9
80.48780488,61.07439024
73.17073171,71.00853659
46.34146341,44.09707317
92.68292683,57.74414634
82.92682927,79.36634146
100,79.1
100,92.425
100,93.615
95.12195122,89.65609756
73.17073171,83.78853659
75.6097561,69.5404878
100,87.39
97.56097561,95.13804878
87.80487805,96.0202439
90.24390244,78.88719512
100,91.39
,81.60468157
100,93.32941176
89.28571429,95.99516807
42.85714286,53.69285714
100,81.88382353
100,87.22352941
64.28571429,57.6789916
82.14285714,80.97478992
78.57142857,85.89327731
100,99.04705882
100,94.61470588
85.71428571,83.03336134
87.80487805,83.36881533
68.29268293,89.91463415
97.56097561,91.37090592
100,96.98571429
85.36585366,96.32543554
90.24390244,70.96933798
85.36585366,83.39686411
87.80487805,87.52595819
82.92682927,91.94634146
80.48780488,78.91010453
92.68292683,87.25557491
87.80487805,80.11881533
80.48780488,79.51010453
100,85.15
100,90.07142857
100,90.86428571
63.41463415,70.82787456
95.12195122,94.04181185
58.53658537,82.61968641
65.85365854,69.00696864
100,89.82857143
56.09756098,68.87630662
82.92682927,65.31777003
90.24390244,91.74076655
92.68292683,94.41986063
100,92.38571429
80.76923077,48.01346154
92.30769231,89.06538462
84.61538462,91.75576923
100,93.9
100,80.05
100,88.775
100,82.1
100,95.3
84.61538462,66.75576923
76.66666667,76.75833333
96.15384615,82.70769231
96.15384615,87.33269231
92.30769231,95.31538462
100,95.975
100,98.35
96.15384615,74.15769231
100,80.8
88.46153846,76.39807692
88.46153846,90.14807692
100,91.75
100,96.625
92.30769231,97.51538462
76.92307692,91.07115385
96.15384615,81.10769231
100,97.15
88.46153846,76.57307692
100,93.45
100,91
96.15384615,89.25769231
