day,line,method,downtime
4,1,new,16.01722291
15,1,new,14.75863181
7,1,new,19.68185573
26,1,new,29.15929564
17,1,new,26.94178776
16,1,new,18.2176512
2,1,new,36.58902092
10,1,new,32.64941624
13,1,new,30.34432838
9,1,new,28.74990128
28,1,new,13.84694556
6,1,new,19.05612495
22,1,new,23.67491888
18,1,new,25.11571383
24,1,new,37.50420962
25,1,old,31.56076427
11,1,old,23.18879815
21,1,old,32.33369361
23,1,old,27.22172367
12,1,old,32.15963899
29,1,old,26.64888283
5,1,old,34.85138611
27,1,old,31.27147537
1,1,old,31.98002782
19,1,old,28.10563319
30,1,old,29.71578079
14,1,old,25.51556122
20,1,old,27.40494983
8,1,old,19.19241061
3,1,old,38.88935889
15,2,new,42.35593041
10,2,new,35.42908109
22,2,new,39.37496914
20,2,new,46.91019772
7,2,new,35.39961736
30,2,new,45.38334535
23,2,new,33.97258262
16,2,new,51.50350699
28,2,new,29.48128236
4,2,new,35.36070409
25,2,new,26.07729446
19,2,new,22.74905292
14,2,new,38.13826697
2,2,new,36.30915138
6,2,new,28.84471255
1,2,old,35.97871445
11,2,old,29.11881405
3,2,old,43.92368
18,2,old,47.07666607
9,2,old,39.53605045
12,2,old,49.85859407
26,2,old,43.99027675
24,2,old,41.74369041
21,2,old,49.25049729
29,2,old,42.35320078
5,2,old,35.148204
17,2,old,36.74332154
13,2,old,30.36956771
8,2,old,42.33132698
27,2,old,52.89310403
