butter,oil,rating
old,old,7.56
old,old,6.14
old,old,7.34
old,old,6.7
old,old,6.55
old,old,7.51
old,old,7.74
old,old,6.69
old,old,6.65
old,old,6.97
old,old,7.08
old,old,6.83
old,old,6.33
old,old,8.47
old,old,5.95
old,new,5.94
old,new,8.54
old,new,7.24
old,new,5.19
old,new,5.2
old,new,5.7
old,new,6.66
old,new,8.57
old,new,5.18
old,new,4.79
old,new,6.7
old,new,7.2
old,new,10.2
old,new,6.5
old,new,5.41
new,old,5.94
new,old,7.35
new,old,3.69
new,old,5.62
new,old,5.39
new,old,6.85
new,old,6.24
new,old,5.27
new,old,6.39
new,old,5.99
new,old,7.62
new,old,3.86
new,old,6.15
new,old,5.69
new,old,5.67
new,new,5.46
new,new,5.82
new,new,6.52
new,new,4.14
new,new,4.71
new,new,7.04
new,new,6.27
new,new,6.04
new,new,5.45
new,new,5.6
new,new,5.85
new,new,6.12
new,new,6.93
new,new,4.31
new,new,5.43
