Day,Coke2Liter,Advil30CntGel,BountyPaperTowel2pk,IvorySoap6pk
1,32.11,14.58,44.7,40.46
2,33.58,14.83,45.95,36.85
3,29.1,12.25,49.2,45.01
4,33.33,20.6,67.26,43.67
5,23.56,16.69,37.62,53.98
6,31.66,16.66,60.44,52.54
7,32.42,13.52,57.6,40.42
8,31.14,20.26,46.11,36.66
9,37.83,15.16,58.43,43.69
10,29.76,18.13,54.9,70.86
11,35.94,21.9,53.36,40.4
12,28.69,19.81,44.77,37.73
13,32.3,12.56,44.77,50.86
14,34.43,18.46,56.38,38.93
15,21.4,17.04,57.06,27.77
16,22.28,20.06,49.7,49.86
17,19.83,16.94,40.17,33.65
18,30.99,13.88,70.22,32.85
19,26.02,23.84,55.81,51.66
20,25.56,18.6,61.46,52.63
21,35.85,16.89,52.73,43.43
22,35.39,25.66,48.36,62.62
23,30.46,15.14,52.12,51.37
24,32.14,19.54,44.48,38
25,36.49,24.67,55.12,55.16
26,22.4,20.67,59.13,32.86
27,26.48,15.89,58.65,29.31
28,31.59,19.85,60.09,40.75
29,29.92,20.66,49.58,39.04
30,26.36,16.7,49.97,18.77
31,29.94,18.78,52.03,41.59
32,27.29,16.24,58.05,59.57
33,40.22,16.29,69.03,39.69
34,35.46,12.63,50.72,39.47
35,26.62,20.88,51.07,42.24
36,36.19,25.47,58.19,23.32
37,29.31,18.1,46.67,43.97
38,32.21,16.34,54.56,54.26
39,31.63,25.04,42.62,45.17
40,25.44,16.91,53.79,37.56
41,31.9,19.48,53.87,48.03
42,29.11,23.82,57.21,38.68
43,39.01,20.46,53.09,42.21
44,31.74,16.36,56.94,41.27
45,34.45,22.21,55.89,46.52
46,33.92,13.17,53.09,59.64
47,41.29,16.98,60.85,49.03
48,25.85,16.95,49.39,31.36
49,31.14,15.25,50,41.7
50,24.64,25.05,56.13,45.6
51,30.43,15.68,40.77,49.46
52,25.78,15.39,46.31,39.69
53,26.53,18.42,51.78,43.73
54,35.33,19.75,47.44,40.84
55,31.99,22.53,44.07,54.8
56,35.33,16.08,43.08,48.48
57,23.73,14.58,39.12,28.78
58,28.66,20.54,61.45,53.94
59,31.46,15.99,47.08,21.32
60,36.32,17.84,62.75,23.1
61,39.98,18.15,34.95,43.96
62,30.93,10.55,46.18,33.45
63,27.99,15.25,70.22,42.18
64,35.27,14.81,54.76,46.35
65,34.61,16.95,53.71,43.84
66,34.86,18.85,68.67,48.39
67,32.01,22.66,65.73,47.7
68,34.06,16.49,59.81,47.38
69,21.84,18.22,47.42,23.13
70,29.81,11.52,64.51,52.29
71,35.99,21.09,53.91,37.9
72,30.26,17.5,63.12,48.38
73,23.25,21.43,59.73,60.87
74,23.76,20.63,45.95,60.31
75,36.46,22.41,49.54,68.75
76,31.37,16.19,43.41,57.2
77,32.8,18.19,52.61,53.14
78,23.79,17.42,68.25,45.04
79,25.96,13.13,59.01,47.55
80,39.12,14.37,48.34,32.19
81,35.23,15.47,43.31,41.9
82,23.96,10.46,35.7,40.97
83,30.63,16.41,67.87,43.74
84,31.6,22.55,47.87,43.24
85,31.61,10.57,47.81,40.47
86,31.57,18.5,51.62,47.83
87,21.12,25.41,59.24,17.75
88,30.92,22.67,61.52,50.22
89,29.74,12.57,40.56,39.94
90,36.13,18.24,65.81,46.33
91,26.19,16.72,36.58,35.31
