ID,Attainment
2,SomewhatSatisfied
3,NoOpinion
4,SomewhatSatisfied
5,SomewhatSatisfied
6,Satisfied
7,SomewhatSatisfied
8,SomewhatSatisfied
9,SomewhatSatisfied
10,SomewhatDissatisfied
11,Satisfied
12,SomewhatSatisfied
13,SomewhatSatisfied
14,SomewhatSatisfied
15,Satisfied
16,Satisfied
17,Satisfied
18,Satisfied
19,Satisfied
20,SomewhatSatisfied
21,SomewhatSatisfied
22,Satisfied
23,SomewhatSatisfied
24,SomewhatSatisfied
25,SomewhatSatisfied
26,SomewhatSatisfied
27,SomewhatSatisfied
28,Satisfied
29,Satisfied
30,Satisfied
31,SomewhatSatisfied
32,SomewhatSatisfied
33,Satisfied
34,Satisfied
35,Satisfied
36,Satisfied
37,SomewhatSatisfied
38,Satisfied
39,Satisfied
40,Satisfied
41,Satisfied
42,SomewhatSatisfied
43,SomewhatSatisfied
44,Satisfied
45,SomewhatSatisfied
46,Satisfied
47,SomewhatSatisfied
48,SomewhatSatisfied
49,SomewhatSatisfied
50,SomewhatSatisfied
51,SomewhatSatisfied
52,NoOpinion
53,Satisfied
54,Satisfied
55,SomewhatSatisfied
56,Satisfied
57,Satisfied
58,SomewhatSatisfied
59,Satisfied
60,NoOpinion
61,Satisfied
62,Satisfied
63,SomewhatSatisfied
64,Satisfied
65,SomewhatSatisfied
66,SomewhatSatisfied
67,NoOpinion
68,SomewhatSatisfied
69,Satisfied
70,Satisfied
71,Satisfied
72,Satisfied
73,SomewhatSatisfied
74,SomewhatSatisfied
75,Satisfied
76,SomewhatSatisfied
77,SomewhatSatisfied
78,Satisfied
79,SomewhatSatisfied
80,SomewhatSatisfied
81,NoOpinion
82,Satisfied
83,Satisfied
84,NoOpinion
85,SomewhatSatisfied
86,SomewhatSatisfied
87,Satisfied
88,Satisfied
89,Satisfied
90,SomewhatSatisfied
91,SomewhatSatisfied
92,Satisfied
93,Satisfied
94,SomewhatSatisfied
95,Satisfied
96,SomewhatDissatisfied
97,Satisfied
98,Satisfied
99,SomewhatSatisfied
100,Satisfied
101,Satisfied
102,Satisfied
103,SomewhatSatisfied
104,SomewhatSatisfied
105,SomewhatSatisfied
106,SomewhatSatisfied
107,SomewhatSatisfied
108,Satisfied
109,NoOpinion
110,SomewhatDissatisfied
111,Satisfied
112,SomewhatSatisfied
113,Satisfied
114,Satisfied
115,SomewhatSatisfied
116,Satisfied
117,Satisfied
118,SomewhatSatisfied
119,SomewhatSatisfied
120,SomewhatSatisfied
121,Satisfied
122,SomewhatSatisfied
123,SomewhatSatisfied
124,Satisfied
125,SomewhatSatisfied
126,Satisfied
127,NoOpinion
128,NoOpinion
129,SomewhatSatisfied
130,Satisfied
131,Satisfied
132,Satisfied
133,Satisfied
134,Satisfied
135,SomewhatSatisfied
136,Satisfied
137,SomewhatSatisfied
138,Satisfied
139,Satisfied
140,SomewhatSatisfied
141,SomewhatSatisfied
142,Satisfied
143,NoOpinion
144,SomewhatSatisfied
145,NoOpinion
146,SomewhatSatisfied
147,Satisfied
148,Satisfied
149,NoOpinion
150,Satisfied
151,Satisfied
152,Satisfied
153,Satisfied
154,Satisfied
155,Satisfied
