StudentID,Result,firstMathCourse,yrsfromACT
1,Failure,Math1003,0to2
2,Success,Math1003,0to2
3,Success,Math1003,0to2
4,Failure,Math1003,0to2
5,Failure,Math1003,0to2
6,Failure,Math1003,0to2
7,Failure,Math1003,0to2
8,Failure,Math1003,0to2
9,Failure,Math1003,0to2
10,Success,Math1003,0to2
11,Success,Math1003,0to2
12,Success,Math1003,0to2
13,Success,Math1003,0to2
14,Failure,Math1003,0to2
15,Success,Math1003,0to2
16,Success,Math1003,0to2
17,Failure,Math1003,0to2
18,Failure,Math1003,0to2
19,Success,Math1003,0to2
20,Success,Math1003,0to2
21,Failure,Math1003,0to2
22,Success,Math1113,0to2
23,Success,Math1113,0to2
24,Failure,Math1113,0to2
25,Failure,Math1113,0to2
26,Success,Math1113,0to2
27,Success,Math1113,0to2
28,Success,Math1113,0to2
29,Success,Math1113,0to2
30,Success,Math1113,0to2
31,Success,Math1113,0to2
32,Failure,Math1113,0to2
33,Success,Math1113,0to2
34,Success,Math1113,0to2
35,Success,Math1113,0to2
36,Success,Math1113,0to2
37,Success,Math1113,0to2
38,Success,Math1113,0to2
39,Success,Math1113,0to2
40,Success,Math1113,0to2
41,Success,Math1113,0to2
42,Failure,Math1113,0to2
43,Success,Math1113,0to2
44,Failure,Math1113,0to2
45,Success,Math1113,0to2
46,Success,Math1113,0to2
47,Success,Math1113,0to2
48,Success,Math1113,0to2
49,Success,Math1113,0to2
50,Success,Math1113,0to2
51,Success,Math1113,0to2
52,Success,Math1113,0to2
53,Success,Math1113,0to2
54,Success,Math1113,0to2
55,Failure,Math1113,0to2
56,Failure,Math1113,0to2
57,Success,Math1003,0to2
58,Failure,Math1003,0to2
59,Success,Math1003,0to2
60,Success,Math1003,0to2
61,Success,Math1003,0to2
62,Success,Math1003,0to2
63,Success,Math1003,0to2
64,Success,Math1003,0to2
65,Success,Math1003,0to2
66,Success,Math1003,0to2
67,Success,Math1003,0to2
68,Success,Math1003,0to2
69,Success,Math1003,0to2
70,Success,Math1003,0to2
71,Failure,Math1003,0to2
72,Success,Math1003,0to2
73,Success,Math1003,0to2
74,Success,Math1003,0to2
75,Success,Math1003,0to2
76,Success,Math1003,0to2
77,Success,Math1003,0to2
78,Success,Math1003,0to2
79,Success,Math1003,0to2
80,Success,Math1003,0to2
81,Success,Math1003,0to2
82,Success,Math1003,0to2
83,Success,Math1003,0to2
84,Success,Math1003,0to2
85,Success,Math1003,0to2
86,Success,Math1003,0to2
87,Success,Math1003,0to2
88,Success,Math1003,0to2
89,Success,Math1003,0to2
90,Success,Math1003,0to2
91,Success,Math1003,0to2
92,Failure,Math1003,0to2
93,Success,Math1003,0to2
94,Success,Math1003,0to2
95,Success,Math1003,0to2
96,Success,Math1003,0to2
97,Success,Math1003,0to2
98,Success,Math1003,0to2
99,Success,Math1003,0to2
100,Success,Math1003,0to2
101,Success,Math1003,0to2
102,Failure,Math1003,0to2
103,Success,Math1003,0to2
104,Success,Math1003,0to2
105,Success,Math1003,0to2
106,Success,Math1003,0to2
107,Success,Math1003,0to2
108,Success,Math1003,0to2
109,Success,Math1003,0to2
110,Success,Math1003,0to2
111,Success,Math1003,0to2
112,Success,Math1003,0to2
113,Success,Math1003,0to2
114,Failure,Math1003,0to2
115,Success,Math1003,0to2
116,Success,Math1003,0to2
117,Success,Math1003,0to2
118,Success,Math1003,0to2
119,Success,Math1003,0to2
120,Success,Math1003,0to2
121,Success,Math1003,0to2
122,Success,Math1003,0to2
123,Success,Math1003,0to2
124,Success,Math1003,0to2
125,Success,Math1003,0to2
126,Success,Math1003,0to2
127,Success,Math1003,0to2
128,Success,Math1003,0to2
129,Success,Math1003,0to2
130,Failure,Math1003,0to2
131,Success,Math1003,0to2
132,Success,Math1003,0to2
133,Success,Math1003,0to2
134,Success,Math1003,0to2
135,Success,Math1003,0to2
136,Failure,Math1003,0to2
137,Success,Math1003,0to2
138,Success,Math1003,0to2
139,Success,Math1003,0to2
140,Success,Math1003,0to2
141,Success,Math1003,0to2
142,Success,Math1003,0to2
143,Success,Math1003,0to2
144,Success,Math1003,0to2
145,Success,Math1003,0to2
146,Success,Math1003,0to2
147,Success,Math1003,0to2
148,Success,Math1003,0to2
149,Success,Math1003,0to2
150,Success,Math1003,0to2
151,Success,Math1003,0to2
152,Success,Math1003,0to2
153,Success,Math1003,0to2
154,Success,Math1003,0to2
155,Success,Math1003,0to2
156,Success,Math1003,0to2
157,Failure,Math1003,0to2
158,Success,Math1003,0to2
159,Success,Math1003,0to2
160,Success,Math1003,0to2
161,Success,Math1003,0to2
162,Success,Math1003,0to2
163,Success,Math1003,0to2
164,Success,Math1003,0to2
165,Failure,Math1003,0to2
166,Success,Math1003,0to2
167,Success,Math1003,0to2
168,Success,Math1003,0to2
169,Success,Math1003,0to2
170,Success,Math1003,0to2
171,Success,Math1003,0to2
172,Failure,Math1003,0to2
173,Success,Math1003,0to2
174,Success,Math1003,0to2
175,Success,Math1003,0to2
176,Failure,Math1003,0to2
177,Success,Math1003,0to2
178,Success,Math1003,0to2
179,Failure,Math1003,0to2
180,Success,Math1003,0to2
181,Failure,Math1003,0to2
182,Success,Math1003,0to2
183,Success,Math1003,0to2
184,Success,Math1003,0to2
185,Failure,Math1003,0to2
186,Success,Math1003,0to2
187,Success,Math1003,0to2
188,Failure,Math1003,0to2
189,Success,Math1003,0to2
190,Success,Math1003,0to2
191,Success,Math1003,0to2
192,Failure,Math1003,0to2
193,Success,Math1003,0to2
194,Success,Math1003,0to2
195,Success,Math1003,0to2
196,Success,Math1003,0to2
197,Success,Math1003,0to2
198,Success,Math1003,0to2
199,Success,Math1003,0to2
200,Success,Math1003,0to2
201,Success,Math1003,0to2
202,Success,Math1003,0to2
203,Failure,Math1003,0to2
204,Success,Math1003,0to2
205,Failure,Math1003,0to2
206,Success,Math1003,0to2
207,Success,Math1003,0to2
208,Success,Math1003,0to2
209,Success,Math1003,0to2
210,Success,Math1003,0to2
211,Success,Math1003,0to2
212,Failure,Math1003,0to2
213,Success,Math1003,0to2
214,Success,Math1003,0to2
215,Failure,Math1003,0to2
216,Success,Math1003,0to2
217,Success,Math1003,0to2
218,Success,Math1003,0to2
219,Success,Math1003,0to2
220,Success,Math1003,0to2
221,Success,Math1003,0to2
222,Success,Math1003,0to2
223,Success,Math1003,0to2
224,Failure,Math1003,0to2
225,Success,Math1003,0to2
226,Success,Math1003,0to2
227,Success,Math1003,0to2
228,Success,Math1003,0to2
229,Success,Math1003,0to2
230,Success,Math1003,0to2
231,Success,Math1003,0to2
232,Success,Math1003,0to2
233,Success,Math1003,0to2
234,Success,Math1003,0to2
235,Success,Math1003,0to2
236,Success,Math1003,0to2
237,Success,Math1003,0to2
238,Success,Math1003,0to2
239,Failure,Math1003,0to2
240,Success,Math1003,0to2
241,Success,Math1003,0to2
242,Success,Math1003,0to2
243,Success,Math1003,0to2
244,Success,Math1003,0to2
245,Success,Math1003,0to2
246,Success,Math1003,0to2
247,Success,Math1003,0to2
248,Success,Math1003,0to2
249,Success,Math1003,0to2
250,Success,Math1003,0to2
251,Success,Math1003,0to2
252,Success,Math1003,0to2
253,Success,Math1003,0to2
254,Success,Math1003,0to2
255,Success,Math1003,0to2
256,Success,Math1003,0to2
257,Success,Math1003,0to2
258,Success,Math1003,0to2
259,Success,Math1003,0to2
260,Success,Math1003,0to2
261,Success,Math1003,0to2
262,Success,Math1003,0to2
263,Success,Math1003,0to2
264,Success,Math1003,0to2
265,Success,Math1003,0to2
266,Success,Math1003,0to2
267,Success,Math1003,0to2
268,Success,Math1003,0to2
269,Success,Math1003,0to2
270,Success,Math1003,0to2
271,Success,Math1003,0to2
272,Success,Math1003,0to2
273,Success,Math1003,0to2
274,Success,Math1003,0to2
275,Success,Math1003,0to2
276,Success,Math1003,0to2
277,Success,Math1003,0to2
278,Success,Math1003,0to2
279,Success,Math1003,0to2
280,Success,Math1003,0to2
281,Success,Math1003,0to2
282,Success,Math1003,0to2
283,Success,Math1003,0to2
284,Success,Math1003,0to2
285,Failure,Math1003,0to2
286,Success,Math1003,0to2
287,Success,Math1003,0to2
288,Success,Math1003,0to2
289,Success,Math1003,0to2
290,Success,Math1003,0to2
291,Success,Math1003,0to2
292,Success,Math1003,0to2
293,Success,Math1003,0to2
294,Success,Math1003,0to2
295,Failure,Math1003,0to2
296,Success,Math1003,0to2
297,Success,Math1003,0to2
298,Success,Math1003,0to2
299,Success,Math1003,0to2
300,Success,Math1003,0to2
301,Success,Math1003,0to2
302,Success,Math1003,0to2
303,Success,Math1003,0to2
304,Success,Math1003,0to2
305,Success,Math1003,0to2
306,Success,Math1003,0to2
307,Success,Math1003,0to2
308,Success,Math1003,0to2
309,Success,Math1003,0to2
310,Success,Math1003,0to2
311,Success,Math1003,0to2
312,Success,Math1003,0to2
313,Success,Math1003,0to2
314,Success,Math1003,0to2
315,Success,Math1003,0to2
316,Success,Math1003,0to2
317,Success,Math1003,0to2
318,Success,Math1003,0to2
319,Success,Math1003,0to2
320,Success,Math1003,0to2
321,Failure,Math1003,0to2
