baseball,speed
old,112.7
old,114.6
old,110.9
old,112.5
old,117.2
old,112.7
old,103.7
old,117.3
old,111.5
old,110.9
old,99.5
old,114.5
old,111.3
old,112.3
old,106
old,113
old,109
old,109.2
old,105.8
old,116.4
old,111.2
old,111.9
old,104.8
old,115.6
old,104.6
old,111.5
old,109
old,118.8
old,107.9
old,111.2
new,114.1
new,113.9
new,113.6
new,107.2
new,110.2
new,111.4
new,105.3
new,109.6
new,106.3
new,115.1
new,117.4
new,101
new,110
new,110.2
new,112.9
new,106.5
new,120.2
new,111.4
new,110.6
new,113.8
new,110.8
new,116.5
new,116.7
new,114.8
new,102.7
new,108.7
new,108.5
new,108.9
new,117.8
new,107.8
