id,W,X,Y,Z
1,17.4,152.6,59.98,105.6
2,16.1,179.8,52.55,127.7
3,18.3,195.9,46.74,141
4,14.9,179.3,54.56,142.9
5,32.4,158.2,41.53,93.2
6,10.4,166.2,47.81,120.1
7,10.6,195.5,51.15,119
8,24.2,170.4,40.52,110.1
9,10.8,153.5,61.91,126
10,13.8,146.4,42.87,104.3
11,57.6,177.3,69.2,136.9
12,21.2,189.9,46.16,123.2
13,56,205.3,52.91,126.4
14,9.2,159.9,37.41,92.7
15,10.5,169.5,49.8,119.3
16,33.4,150.9,41.86,100.2
17,21.2,186.2,57.71,128
18,4.9,189.7,57.06,127.7
19,0.6,180.8,44.94,108.4
20,4,171.5,43.42,102.3
21,7.1,213,45.73,142.4
22,32.1,164.9,54.94,96
23,4.6,167.8,55.66,125.2
24,59.5,185,44.68,122.7
25,4.1,217.3,53.96,118.2
26,26.9,159.9,51.96,85.3
27,19,228.3,39.11,110.2
28,33.3,180.8,47.06,100.3
29,21.4,191.2,49.12,123.9
30,82.7,162.3,51,104.9
31,21.6,204.4,48.1,131.1
32,14.6,138.2,44.74,81.7
33,41.3,164.4,53.59,117.7
34,1.2,183.2,45.5,125.3
35,27.7,190,38.81,113.6
36,18.3,175.5,63.3,123.8
37,9.3,187.9,41.32,110.7
38,9.9,188.7,57.18,113.6
39,4.5,187.2,52.62,121.8
40,2.6,131,55.58,94.9
41,17.3,171.4,52.96,123.6
42,83.2,195.5,55.36,130.6
43,27.6,172.8,58.64,130.3
44,0.1,186,48.14,112.1
45,7.9,181.1,65.53,136.7
46,0.4,189.9,49.39,118.3
47,12.4,205.9,54.73,119.2
48,27,177.7,51.64,131
49,88.8,185.9,44.12,113.8
50,43,170.2,49.98,117.2
51,31.4,160.9,40.59,105.8
52,21.3,173.9,58.47,109.8
53,13.8,187.7,44.24,122.7
54,0.8,147.3,52.24,103.3
55,5.1,189.7,46.53,126.2
56,15.6,171.7,57.75,123.4
57,3.8,203.6,51.61,122.4
58,6.2,177,44.23,111.4
59,2,186.1,47.72,110.6
60,26.9,185.4,56.22,118.5
61,36.3,186.3,40.15,126.3
62,8.9,181.5,41.63,107
63,8.5,203.4,43.39,106.5
64,88.7,139.7,48.96,115.8
65,8.1,209.7,50.29,119.6
66,5.1,172.4,50.01,114.7
67,132,179.7,43.61,97.8
68,13,182.5,48.37,106
69,1.2,168.7,45.08,86.5
70,6.7,175.9,41.24,111.5
71,49.8,165,52.77,106.8
72,21.8,181.9,54.38,126
73,36.4,179.1,54.65,112
74,11.8,203.3,45.34,121
75,13.4,179.3,56.42,118.5
76,69.6,147.4,43.5,91.6
77,13.9,160.7,40.31,105.3
78,7.3,203.4,49.18,104.1
79,1.4,174.6,50.11,117.7
80,11.6,178.4,48.84,104.7
81,6.8,168.5,56.04,116.1
82,0.3,196.4,46.73,120.2
83,14,197.1,57.7,116.6
84,30,189.4,52.04,136.8
85,20.4,157.5,53.76,113.5
86,121,192,48.69,123.3
87,0.2,206.1,63.88,128.9
88,5.2,165.8,45.9,106
89,14.6,178,54.97,114.8
90,20.7,178.5,52.59,104.6
91,19.2,163.5,47.83,111.3
92,11.7,158.3,53.92,110.8
93,13,186,32.73,99.8
94,28.1,208.2,48.21,120
95,6.7,189.5,40.75,93.9
96,12.8,187.1,55.26,113.4
97,34.2,177.8,50.91,109.7
98,42.9,164,52.07,120.3
99,18.3,159.2,55.41,131.4
100,15.5,227.1,51.4,127.6
101,34.5,187.9,47.68,115.3
102,4.1,144.9,58.04,104.1
103,0.8,199.3,49.59,124.4
104,12.9,155.5,51.83,112.4
105,2.2,168.8,58.36,115.1
106,35.1,186.5,48.33,114.3
107,13.1,173.3,56.37,139.2
108,63.1,187.2,50.31,123.7
109,37.8,181,60.3,126.4
110,10.3,174.4,41.33,94.6
111,12,179,41.26,111.5
112,2.6,156.2,54.81,117.2
113,6.6,196,45.19,112.5
114,72.1,188,51.05,130
115,20.2,170.6,46.45,104.6
116,34.3,200.5,42.54,111.2
117,12.1,169.2,45.54,96.3
118,14.2,170.4,56.15,117.3
119,2.2,180.2,45.36,113.3
120,26.6,190.4,64.98,124.6
121,43.2,132.4,56.16,115.8
122,8.7,196.7,42.93,115.4
123,16.1,209.9,62,136.8
124,16.2,164.2,55.58,132.1
125,43.7,208.7,61.59,136.1
126,10.6,208.7,51.02,99.3
127,41.6,178.1,55.04,114
128,16.8,181,59.93,121
129,5.9,178.5,38.39,113.7
130,28.9,199.6,55.68,150.6
131,45.3,167.6,46.21,90.2
132,23.5,185.1,43.45,103.5
133,17,185.4,58.41,138.4
134,29.4,186.4,54.77,129.7
135,0.1,203.3,48.1,117.8
136,39.4,206.6,47.04,138.8
137,34.8,189.5,43.79,115.5
138,5.5,173.6,40.94,103.1
139,33.6,196.3,52.12,130.7
140,42.9,163,37.11,103.3
141,6.3,179.7,41.42,96.2
142,38.1,165.1,48.06,100.7
143,35.1,162,56.34,112.2
144,52.4,205.6,55.37,126.9
145,19.3,220.3,59.82,130.8
146,37.5,164.6,48.77,117.9
147,39.9,192.7,58.75,118.9
148,0.7,199.9,57.91,133.7
149,20.6,178.1,58.69,126.3
150,13,163.2,49.93,100.3
151,5.3,161.7,50.86,120.7
152,15.4,184,52.64,107.3
153,32.8,191.1,55.39,129.8
154,3,175.4,45.62,102.8
155,4.8,193.2,46.07,108
156,4.1,174.9,40.69,113.8
157,29.4,177.1,48.09,126.6
158,5.4,198.9,44.4,113.8
159,76,167.8,54.28,130.7
160,15,203.5,36.79,105.6
161,20.8,137.6,53.32,108
162,27.3,188.3,47.93,138.5
163,8.2,195.4,47.6,105.6
164,39.2,158.4,61.69,123.4
165,30.4,187.4,52.7,105.8
