Candy,Costume,Decorations,Pumpkin
3208.63,4318.51,2739.35,1974.23
4994.08,6203.88,3325.69,3834.3
5102.14,4604.13,2773.87,2818.22
2979.45,4476.37,2972.68,1771.11
4830.74,4224.13,2585.14,3201.03
4974.81,4728.35,3322.54,3307.52
3405.91,3314.78,2931.16,1986.08
2627.2,2804.73,2382.89,3782.55
4641.26,5329.08,2930.73,2676.8
4843.36,5419.79,3360.37,2097.47
3967.13,4282.75,2916.05,3473.47
2847.7,3877.32,2640.63,3394.18
3223.31,3385.6,3506.94,3791.43
3114.61,3258.04,3435.68,3198.32
3871.61,2289.29,2728.26,3519.29
3970.65,4077.97,2977.11,3696.69
3322.68,2707.37,3110.11,3166.86
5505.71,4027.05,3080.06,3273.45
4870.64,4329.54,3115.63,3587.66
3776.13,3557.17,3415.46,2480.22
4216.29,5474.53,2338.64,3039.06
3545.07,4194.9,2116.65,3593.52
4507.5,5406.14,3313.5,3016.83
4087.15,4730.13,2633.11,2073.58
4564.01,4364.75,2897.57,2452.96
3210.92,3516.48,2993.19,2406.68
3993.09,4761.93,2969.55,3610.47
4913.56,5338.33,2720.62,3161.81
3681.6,3789.24,2589.24,2901.67
4089.84,2703.61,2910.63,3657.96
5602.57,5373.13,3504.92,4057.86
4898.89,2992.84,2860.79,4468.93
4632.3,4072.83,3018.65,4247.29
3939.05,5562.6,3123.7,3083.52
3337.75,3126.98,2181.62,4178.82
5586.28,4868.19,3504.06,2931.41
3044.83,4983.09,3458.07,3249.98
3364.63,3313.33,3182.4,3373.78
3657.88,4766.57,2663.63,2614.61
3793.79,3073.56,3137.28,2411.52
3063.72,3378.72,3077.94,2427.14
3713.62,4034.89,2907.93,2713.55
4136.55,3162.5,2903,2436.61
4446.29,3773.98,2721.84,2861.32
4188.06,4520.47,2909.26,3590.07
3579.5,4007.62,2547.18,3140.95
4551.69,5175.12,2431.4,3281.05
3448.08,4639.02,2593.9,2869.08
4808.26,4067.51,2867.46,3026.05
4164.72,4678.94,2452.55,2674.31
4040.38,4671.18,3355.87,2909.18
5190.99,5608.73,3539.63,3678.21
4212.75,4589.79,3162.13,931.45
3271.19,4408.68,2978.42,3248.51
3736.54,3237.99,3726.51,2333.88
3733.8,5306.65,3151.92,2852.14
3156.87,4109.17,2391.41,3148.67
3162.6,4155.52,2354.83,3301.2
3371.58,3411.01,2808.41,2838.84
4254.63,5239.88,2923.51,2831.14
4362.91,4453.81,3259.41,2513.16
4201.93,3567.56,2900.8,4224.72
2997.02,4333.61,2057.47,2888.35
3441.48,5426.34,2931.64,2153.76
4634.33,4065.42,3340.89,3112.05
4226.55,4701.71,2737.39,3589.17
5671.76,4176.8,3458.23,2904.92
4079.21,4997.53,2571.03,3319.56
3767.57,3570.2,2327.97,3256.58
5077.9,3907.74,3318.7,4024.36
3579.93,3270.8,2986.85,3221.14
3735.32,3743.17,3466.51,2258.32
3717.12,3985.21,3477.8,2644.29
4202.05,4397.92,3134.29,2408.78
3907.11,4141.41,3303.08,2422.94
3919.91,2773.58,3178.01,4653.11
5066.4,5010.96,2851.87,3229.55
3930.94,3740.41,3731.78,2860.61
3448.11,3106.66,2372.8,2750.9
2792.14,4178.94,2566.6,2555.6
2410.96,3077.58,2833.01,2948.51
4204.78,3943.38,2219.44,2746.87
4606.36,3269.56,3521.65,3337.15
4788.31,5730.89,3688.42,3513.94
4099.39,4756.99,2857.08,2715.85
3158.46,2206.13,2426.14,2707.92
3008.75,5128.48,2179.24,2677.83
3541.61,4042.93,1978.81,1938.73
4861.76,2774.06,3279.17,3623.71
4304.77,4572.4,2636.63,2815.11
4428.46,4263.21,3683.78,4242.02
4545.46,4757.37,2541.99,2631.27
4833.81,4897.05,2630.99,3080.78
4902.25,4061.66,2422.14,3668.44
4532.25,4491.21,3107.73,2280.08
4423.21,4367.84,3321.91,3030.69
4872.71,3541.1,2820.5,4044.2
5600.37,4048.4,2804.84,3145.31
4050.54,3828.04,3360.26,3090.38
5443.79,5193.42,3448.9,2731.44
4473.87,3601.59,3353.62,3467.57
5540.87,3742.47,3814.37,4094.48
3980.74,3126.01,3740.37,1254.14
3997.75,5290.98,3008.81,3410.73
5793.73,4456.2,3328.2,4883.51
3683.33,3796.71,3036.37,2499.98
5022.01,4060,3221.9,4323.09
3390.12,3181.17,3371.73,2132.46
3659.7,4341.4,3774.35,2281.84
3749.65,4157.97,2807.97,2655.01
3869.77,5412.9,2821.07,2539.95
2799.35,2290.04,2674.38,3525.16
4567.7,4546.75,2781.6,3406.79
3024.26,3585.65,3320.43,2821.57
4936.39,4422.64,3254.9,2674.69
2969.14,3185.22,2780.22,3008.72
4772.64,5756.45,3860.14,3707.62
4148.88,3958.51,3111.48,3271.02
5090.78,4964.37,3392.13,2615.95
4602.37,3700.01,2746.7,2910.78
5417.41,4569.3,3240.31,3035.63
3075.44,3830.53,2863.8,3298.36
3039.91,2825.65,2859.5,3703.87
4196.97,4722.87,2901.88,2852.22
3634.19,4327.85,2423.77,3259.48
4867.93,5510.49,2826.4,3391.86
4148.19,4291.07,2258.55,2181.49
5313.33,4465.94,3642.57,3738.77
2737.01,3098.97,3349.98,2447.06
3911.14,4582.56,3309.89,3029.55
2551.48,2861.33,2711.93,3315.89
4572.1,4737.97,3359.96,3181.53
3713.07,5713.05,3342.27,2279.84
4799.89,5261.26,2687.42,2919.4
3554.33,4538.38,3059.13,2440.58
4017.87,4922.45,3494.33,4225.89
4172.37,4245.19,2868.1,1736.4
3812.51,3363.24,2640.56,2349.09
4642.06,3988.87,3486.06,2448.48
3698.49,5195.03,3313.61,2343.42
3646.56,2166.97,3804.87,3398.27
2928.61,3015.73,2836.63,3857.13
4921.54,5323.93,3123.26,3720.01
3371.91,3805.98,3310.06,2753.82
3662.95,3259.78,2705.01,1770.01
3607.82,4747.97,3206.87,2841.49
4950.64,2726.58,3277.96,3699.88
3720.19,5289.74,3863.22,2937.43
3642.9,3268.24,2327.32,2283.19
2885.17,4175.11,2600.93,1931.66
4015.67,4282.76,2936.95,3540.34
3628.69,4802.07,3007.68,1739.95
4121.61,3710.55,2906.9,3324.94
5093.09,5567.69,3327.51,2838.55
4118.92,5131.02,2396.41,2825.84
2793.86,3778.04,2877.15,3855.78
3877.4,4386.68,2717.91,3257.78
3648.72,4469.79,3705.91,2131.63
4335.79,4141.46,2167.96,3162.1
4281.03,3058.99,2074.33,4331.94
5410.62,5376.14,3002.12,3573.09
4652.59,3000.03,2867.22,2627.08
4276.68,4535.49,2701.6,1676.59
4102.27,4156.53,3036.7,3360.38
3431.34,2112.05,2921.23,2740.41
3715.13,4374.06,2867.75,3089.92
5032.94,4692.94,3756.92,3671.78
3401.46,3519.08,2955.55,2988.4
3654.56,3899.05,3265.92,1733.79
3552.23,5598.76,3179.32,2824.8
3875.84,3141.45,3495.69,3287.24
4650.76,3259.22,3610.53,2758.35
3477.96,4001.61,2861.55,3194.82
4069.44,4454.28,3427.41,3576.63
4009.38,3965.98,2680.6,3449.99
3889.9,4120.07,2693.04,3795.65
4321.28,3944.94,3261.17,3946.49
3974.55,3305.94,2837.97,2748.11
5086.65,5027.92,3129.66,3487.85
3289.32,3553.55,3213.79,2347.62
3698.26,3850.5,2846.45,3660.14
3492.01,2780.44,2435.37,3495.3
3730.13,2407.55,2997.85,2708.6
4184.08,3419.74,2480.38,4522.25
4488.1,3484.33,3222.16,3479.42
3200.74,3966.04,2665.33,2817.26
4033.26,2927.61,3210.87,3701.45
3254.15,3211.96,2710.6,2008.2
4067.15,4071.95,2761.59,3775.37
4351.27,3812.43,3359.75,3157.42
4585.35,3669.21,2784.82,2963.95
3468.83,4545.02,3118.57,2674.05
3099.69,2937.63,3542.14,2733.72
3504.72,5148.62,2711.3,2720.11
3645.64,3537.65,3390.02,3217.31
4269.64,2095.24,2325.57,3671.64
2906.9,3400.2,2707.14,2928.54
4855.36,3959.4,3107.74,3947.72
4203.61,3276.53,2724.32,3499.16
5839.74,5181.07,3736.95,3177.19
4615.03,3575.86,2433.17,4144.88
3517.22,3841.38,3079.55,2834.13
5758.32,5062.21,2702.71,4179.54
3109.14,3469.94,2920.99,3019.89
3287.01,3388.79,3162.82,2363.39
4500.93,3612.82,2969.97,3476.53
3155.3,3371.65,3115.94,3488.11
3615.42,3536.84,3350.25,2056.15
3947.96,5304.03,3489.42,3059.72
2939.5,2372.44,3698.95,1401.29
2815.47,3874.29,3620.22,3079.63
2685.76,3667.38,3099.99,2210.23
3394.72,3955.55,2760.3,3211.68
4111.97,4673.96,3329.71,2753.39
3721.04,4612.36,2582.87,4469.82
3665.34,3899.68,2807.43,2857.42
2831.76,2512.22,3306.99,2721.83
5078.26,3978.14,3296.26,2672.66
