sample,lifespan
1,11.71572555
2,14.85387872
3,19.58475359
4,17.24275752
5,11.35727561
6,10.46424193
7,12.97444463
8,14.038684
9,20.16330869
10,17.44541241
11,16.52534149
12,14.26298855
13,13.62649232
14,17.76873555
15,15.66459022
16,16.09639306
17,10.70629407
18,11.73700298
19,19.84380176
20,13.0241174
21,9.061264467
22,10.67257046
23,13.63501052
24,15.12036439
25,17.68816708
26,15.56459852
27,14.94408288
28,15.08327067
29,16.13480245
30,14.09579234
31,14.97631491
32,11.82852705
33,12.17638954
34,16.71878736
35,14.47413425
