sqft,saleprice
1326,66960
1391,80400
1000,45600
1542,74400
735,45360
1444,91920
1796,108000
1770,104400
1708,99600
1529,85200
2234,157200
1607,116520
1648,99600
1608,111600
1020,43200
1870,112600
880,35800
1750,104200
920,37800
1740,103000
1740,101200
1750,104000
1040,48700
2030,126100
1520,85000
3410,235100
1730,101300
1310,68900
1240,64200
1610,92300
620,36200
1030,50400
1020,45900
2140,153200
1000,47900
860,35200
1730,101000
1430,89600
1570,94300
1340,64600
1190,64000
1310,75400
1370,67200
1160,49700
1730,105600
980,49000
1440,82300
1250,70800
1050,55500
1520,68100
1980,122600
1460,81400
2270,149700
1690,101600
2050,129900
2040,131300
1320,81700
1140,65700
2310,158500
1000,31800
