SqFt,Age,Location,Lotsize,Condition,SalePrice
1100,15,2,0.43,3,49600
1300,4,2,0.68,2,41700
1330,3,3,0.39,2,114500
1810,1,3,0.2,3,185000
3500,13,2,0.33,2,203100
800,4,3,2.08,1,73000
2050,1,2,0.3,4,174600
1620,38,1,0.95,3,67500
1430,21,3,1.07,4,74500
1850,10,2,1.93,2,142200
1990,30,2,0.28,2,73500
2410,8,3,1.84,2,196800
1390,1,2,0.23,2,105900
910,17,2,3.52,3,67400
4200,1,1,0.09,4,372700
2560,8,3,0.95,2,227400
2150,29,4,2.71,2,89100
2310,14,2,0.51,3,149500
1950,11,3,0.27,3,203800
1820,1,3,0.75,2,156100
1410,14,3,1.17,3,140500
1700,4,4,3.26,2,187200
4500,3,2,1.06,2,320000
1510,6,2,0.89,2,125000
2220,12,3,0.65,1,178500
2510,4,3,3.51,3,228700
2420,16,3,0.2,3,158300
2140,17,4,0.17,3,149500
5800,1,2,0.13,2,506100
1790,13,3,0.49,2,134100
2400,19,3,0.41,3,122600
1330,27,2,0.78,2,25000
1960,16,2,0.04,2,112500
2110,17,3,0.1,2,99000
1000,12,2,2.28,2,122000
1330,15,2,0.03,2,113500
1770,2,2,0.27,2,161400
2260,1,2,0.07,3,220400
1920,4,4,0.54,1,165600
1770,7,3,0.57,3,118500
2120,9,3,0.5,3,146800
810,22,2,0.98,3,25000
1330,4,3,1.45,2,114600
2480,3,2,0.15,3,199300
1890,9,3,0.36,2,121700
1450,6,4,0.39,3,130900
1110,6,2,0.56,2,87900
1930,5,1,1.44,2,145000
2320,6,4,1.38,3,191600
1740,1,2,0.2,2,129700
2860,7,3,1.51,4,257000
1810,1,2,1.05,2,184400
790,3,3,1.87,2,82700
2660,7,3,3.13,3,221500
1190,6,2,0.12,3,95900
2090,34,2,0.47,3,100900
1670,20,3,0.15,2,77900
1930,14,3,0.37,3,140700
2110,8,3,0.31,4,190700
3450,1,2,0.5,2,287800
1940,14,3,0.03,2,102300
1250,1,2,0.25,3,150900
1900,3,3,0.57,3,145500
1810,6,4,0.05,3,154800
2790,12,2,0.18,3,170000
2060,2,2,0.44,2,135100
1210,2,3,1.18,4,132500
1380,2,3,1.1,2,94800
1410,1,3,1.77,3,130200
1910,2,4,1.12,2,200400
2000,1,3,0.2,3,182500
1580,13,2,1.88,3,133900
2310,7,2,0.13,3,185000
1970,3,1,1.18,2,129500
1240,10,2,0.44,3,67000
2200,2,3,0.3,2,157400
1610,42,3,2.44,3,44000
1260,30,2,0.57,3,25000
1110,18,3,0.29,2,46700
800,11,2,0.22,3,74100
2140,1,2,0.26,3,220200
1390,1,2,0.3,3,80800
2240,4,3,2.3,2,196500
2950,16,2,2.5,2,228900
1590,2,3,1.55,3,135000
1340,4,3,1.88,2,149600
1420,20,3,1.32,3,89800
1920,5,4,0.64,3,191400
1280,5,2,1.18,1,137800
1770,18,2,1.08,4,85100
1990,2,2,0.61,2,117900
1550,11,2,0.16,2,107200
1920,20,2,0.91,3,156700
1440,4,1,1.06,1,113600
1860,26,3,0.65,2,132200
1520,1,3,0.65,3,153600
2310,4,4,0.13,3,213000
960,6,3,1.54,3,98000
1640,2,3,0.35,4,116300
