Observation,Size,Distance,MTime
1,small,short,0.650
2,small,short,0.450
3,small,short,0.660
4,small,short,0.720
5,small,short,0.630
6,small,short,0.460
7,small,short,0.500
8,large,far,1.020
9,large,far,0.910
10,large,far,0.960
11,large,far,0.630
12,large,far,0.540
13,large,far,0.910
14,large,far,1.270
15,small,far,0.970
16,small,far,0.910
17,small,far,1.290
18,small,far,2.110
19,small,far,0.850
20,small,far,0.740
21,small,far,1.440
22,large,short,0.610
23,large,short,0.410
24,large,short,0.450
25,large,short,0.470
26,large,short,0.650
27,large,short,0.510
28,large,short,0.790
