product,group,qualityIndex
1,before,230.1657991
2,before,241.7692038
3,before,190.9430156
4,before,167.5398333
5,before,266.8973507
6,before,228.7656584
7,before,235.3122147
8,before,191.8015781
9,before,196.4806144
10,before,213.1424122
11,before,224.3075919
12,before,201.6181503
13,before,214.3602526
14,before,231.2124776
15,before,279.6322098
16,before,180.3219846
17,before,185.0997114
18,before,230.2830103
19,before,289.4657965
20,before,211.195188
21,before,208.824231
22,before,225.2318154
23,before,215.371434
24,before,200.4349709
25,before,148.9315523
26,before,222.0758686
27,before,297.8356894
28,before,169.7925045
29,before,276.2393257
30,before,263.3978941
1,after,295.2227113
2,after,276.9966015
3,after,291.8601265
4,after,274.2763813
5,after,281.935637
6,after,225.7130738
7,after,245.6738903
8,after,261.5917249
9,after,270.3363017
10,after,240.4293197
11,after,252.9851524
12,after,251.8643583
13,after,266.5290437
14,after,273.5060255
15,after,247.4808771
16,after,269.717151
17,after,243.6043251
18,after,271.2259545
19,after,247.8233423
20,after,308.8481281
21,after,279.6435304
22,after,287.1687746
23,after,246.7027355
24,after,297.3877861
25,after,243.6410851
26,after,254.9587236
27,after,228.0788102
28,after,237.1191859
29,after,290.6717704
30,after,278.378424
