visitid,itemtype
100001,Antacid
100001,Bread
100001,Candy
100001,CatFood
100001,Chips
100001,Cookies
100001,Diapers
100001,DogFood
100001,LaundryDetergent
100001,Milk
100001,Softdrink
100001,ToothPaste
100002,Bread
100002,Candy
100002,CatFood
100002,Chips
100002,Cookies
100002,Diapers
100002,DogFood
100002,HamburgerBuns
100002,InkPen
100002,LaundryDetergent
100002,Milk
100002,Softdrink
100003,Bread
100003,Candy
100003,CatFood
100003,Chips
100003,Cookies
100003,Diapers
100003,DogFood
100003,HamburgerBuns
100003,LaundryDetergent
100003,Milk
100003,Softdrink
100004,Antacid
100004,Bread
100004,Candy
100004,Chips
100004,Cookies
100004,Diapers
100004,DogFood
100004,HamburgerBuns
100004,LaundryDetergent
100004,LightBulb
100004,Milk
100004,Softdrink
100005,Antacid
100005,Bread
100005,Candy
100005,CatFood
100005,Chips
100005,Cookies
100005,Diapers
100005,DogFood
100005,HamburgerBuns
100005,InkPen
100005,LaundryDetergent
100005,Milk
100005,Soap
100006,Ammunition
100006,Antacid
100006,BeefJerky
100006,Bread
100006,Candy
100006,CatFood
100006,Chips
100006,Cookies
100006,Diapers
100006,HamburgerBuns
100006,Milk
100006,Softdrink
100007,Antacid
100007,Bread
100007,CatFood
100007,Chips
100007,Cookies
100007,Diapers
100007,DogFood
100007,HamburgerBuns
100007,InkPen
100007,LaundryDetergent
100007,Milk
100007,Soap
100007,Softdrink
100008,Bread
100008,Candy
100008,Diapers
100008,LaundryDetergent
100008,LightBulb
100008,Milk
100009,Antacid
100009,Bread
100009,Candy
100009,CatFood
100009,Chips
100009,Cookies
100009,Diapers
100009,DogFood
100009,HamburgerBuns
100009,InkPen
100009,LaundryDetergent
100009,LightBulb
100009,Milk
100009,Softdrink
100010,Candy
100010,Chips
100010,Cookies
100010,Diapers
100010,HamburgerBuns
100010,ToothPaste
100011,BeefJerky
100011,Bread
100011,CatFood
100011,Chips
100011,Cookies
100011,Diapers
100011,DogFood
100011,HamburgerBuns
100011,Milk
100011,Softdrink
100012,Antacid
100012,Bread
100012,Chips
100012,Cookies
100012,Diapers
100012,Softdrink
100013,Bread
100013,Chips
100013,Cookies
100013,HamburgerBuns
100013,LaundryDetergent
100014,Antacid
100014,Chips
100014,Cookies
100014,Diapers
100014,DogFood
100014,HamburgerBuns
100014,Milk
100014,Softdrink
100015,Bread
100015,Chips
100015,Cookies
100015,Diapers
100015,HamburgerBuns
100015,Milk
100015,Soap
100015,Softdrink
100016,Bread
100016,Candy
100016,Chips
100016,Cookies
100016,Diapers
100016,InkPen
100016,Milk
100016,Soap
100017,Ammunition
100017,Bread
100017,CatFood
100017,Chips
100017,Cookies
100017,DogFood
100017,HamburgerBuns
100017,LaundryDetergent
100017,LightBulb
100017,Milk
100017,Soap
100018,Bread
100018,CatFood
100018,Chips
100018,Diapers
100018,DogFood
100018,Milk
100018,Softdrink
100019,Antacid
100019,Bread
100019,Candy
100019,CatFood
100019,Chips
100019,Cookies
100019,Diapers
100019,DogFood
100019,HamburgerBuns
100019,LaundryDetergent
100019,Milk
100019,Soap
100019,Softdrink
100020,Antacid
100020,Bread
100020,Candy
100020,CatFood
100020,Chips
100020,Cookies
100020,Diapers
100020,HamburgerBuns
100020,LaundryDetergent
100020,Milk
100020,MotorOil
100020,Softdrink
100021,Antacid
100021,BeefJerky
100021,Bread
100021,Candy
100021,CatFood
100021,Chips
100021,Cookies
100021,Diapers
100021,DogFood
100021,LaundryDetergent
100021,Milk
100021,Soap
100021,Softdrink
100022,Bread
100022,CatFood
100022,Chips
100022,Cookies
100022,Diapers
100022,DogFood
100022,HamburgerBuns
100022,LaundryDetergent
100022,LightBulb
100022,Milk
100022,Soap
100022,Softdrink
100022,Vitamins
100023,Bread
100023,Candy
100023,Chips
100023,Cookies
100023,Diapers
100023,DogFood
100023,HamburgerBuns
100023,Milk
100023,Softdrink
100024,Chips
100024,Cookies
100024,Diapers
100024,DogFood
100024,HamburgerBuns
100024,InkPen
100024,Milk
100024,Softdrink
100025,Antacid
100025,Bread
100025,Candy
100025,CatFood
100025,Chips
100025,Cookies
100025,Diapers
100025,HamburgerBuns
100025,LaundryDetergent
100025,Milk
100025,Softdrink
100026,CatFood
100026,HamburgerBuns
100026,Milk
100026,Softdrink
100027,Bread
100027,Candy
100027,Cookies
100027,DogFood
100027,HamburgerBuns
100027,Milk
100027,Softdrink
100028,Antacid
100028,Bread
100028,Candy
100028,Cookies
100028,Diapers
100028,HamburgerBuns
100028,LightBulb
100028,Milk
100028,Softdrink
100030,CatFood
100030,Chips
100030,Cookies
100030,DogFood
100030,LaundryDetergent
100031,Chips
100031,Diapers
100031,DogFood
100031,Softdrink
100032,Bread
100032,Candy
100032,Chips
100032,Cookies
100032,Diapers
100032,DogFood
100032,Milk
100034,Ammunition
100034,BeefJerky
100034,Bread
100034,Candy
100034,CatFood
100034,Chips
100034,Cookies
100034,Diapers
100034,DogFood
100034,HamburgerBuns
100034,LightBulb
100034,Milk
100034,Soap
100034,Softdrink
100035,Bread
100035,CatFood
100035,Chips
100035,Cookies
100035,Diapers
100035,LaundryDetergent
100036,BeefJerky
100036,Candy
100036,Chips
100036,DogFood
100036,HamburgerBuns
100036,InkPen
100036,Milk
100037,Bread
100037,Candy
100037,CatFood
100037,Chips
100037,Cookies
100037,Diapers
100037,DogFood
100037,Milk
100037,Softdrink
100038,Antacid
100038,BeefJerky
100038,Bread
100038,Candy
100038,CatFood
100038,Chips
100038,Diapers
100038,DogFood
100038,HamburgerBuns
100038,Milk
100039,Bread
100039,Cookies
100039,Diapers
100039,HamburgerBuns
100039,Milk
100039,Softdrink
100040,Candy
100040,Cookies
100040,Diapers
100041,BeefJerky
100041,Bread
100041,Candy
100041,CatFood
100041,Chips
100041,Cookies
100041,Diapers
100041,DogFood
100041,InkPen
100041,LaundryDetergent
100041,LightBulb
100041,Milk
100041,Softdrink
100042,Antacid
100042,CatFood
100042,Chips
100042,Cookies
100042,Diapers
100042,HamburgerBuns
100042,LaundryDetergent
100043,Bread
100043,CatFood
100043,Cookies
100043,Diapers
100043,DogFood
100045,Antacid
100045,Bread
100045,Candy
100045,Chips
100045,Cookies
100045,InkPen
100045,Milk
100045,Soap
100046,Bread
100046,CatFood
100046,Chips
100046,Cookies
100046,Diapers
100046,DogFood
100046,HamburgerBuns
100046,LaundryDetergent
100046,Milk
100046,Softdrink
100048,CatFood
100048,Cookies
100050,Chips
100050,Cookies
100050,Diapers
100050,Milk
100050,Softdrink
100052,Bread
100052,Chips
100052,Diapers
100052,HamburgerBuns
100052,Milk
100054,CatFood
100054,Chips
100054,Cookies
100054,DogFood
100054,Softdrink
100055,Bread
100055,Candy
100055,CatFood
100055,Chips
100055,Diapers
100055,HamburgerBuns
100055,LaundryDetergent
100055,Milk
100055,Softdrink
100056,Bread
100056,Candy
100057,Antacid
100057,Candy
100057,CatFood
100057,Chips
100057,Cookies
100057,Diapers
100057,DogFood
100057,HamburgerBuns
100057,Milk
100057,Softdrink
100057,ToothPaste
100058,CatFood
100058,Cookies
100058,Diapers
100058,LaundryDetergent
100058,LightBulb
100058,Softdrink
100059,Antacid
100059,Bread
100059,Candy
100059,CatFood
100059,Chips
100059,Cookies
100059,Diapers
100059,DogFood
100059,HamburgerBuns
100059,Milk
100059,Softdrink
100060,Bread
100060,Candy
100060,Chips
100060,Cookies
100060,Diapers
100060,HamburgerBuns
100060,LaundryDetergent
100060,Soap
100060,Softdrink
100061,Bread
100061,Candy
100061,HamburgerBuns
100061,Milk
100062,Candy
100062,CatFood
100062,Chips
100062,Cookies
100062,Diapers
100062,DogFood
100062,HamburgerBuns
100062,Milk
100062,Softdrink
100063,Antacid
100063,Bread
100063,Candy
100063,CatFood
100063,Chips
100063,Cookies
100063,Diapers
100063,DogFood
100063,HamburgerBuns
100063,InkPen
100063,LaundryDetergent
100063,LightBulb
100063,Milk
100063,Softdrink
100063,ToothPaste
100064,BeefJerky
100064,Bread
100064,Chips
100064,Cookies
100064,LaundryDetergent
100065,Antacid
100065,Bread
100065,Candy
100065,Diapers
100065,LaundryDetergent
100066,Candy
100066,Chips
100066,Diapers
100066,LightBulb
100066,Soap
100068,Bread
100068,Candy
100068,CatFood
100068,Chips
100068,Diapers
100068,DogFood
100068,HamburgerBuns
100068,Milk
100069,Bread
100069,DogFood
100069,HamburgerBuns
100069,Milk
100071,Candy
100071,Chips
100071,Milk
100072,BeefJerky
100072,Bread
100072,Candy
100072,CatFood
100072,Chips
100072,Cookies
100072,Diapers
100072,DogFood
100072,Milk
100072,Soap
100072,Softdrink
100073,CatFood
100073,Diapers
100074,Antacid
100074,Candy
100074,CatFood
100074,Chips
100074,Cookies
100074,HamburgerBuns
100074,Soap
100075,Bread
100075,CatFood
100075,DogFood
100076,Bread
100076,Candy
100076,CatFood
100076,Chips
100076,DogFood
100076,HamburgerBuns
100076,Milk
100076,Softdrink
100079,Antacid
100079,Bread
100079,Chips
100079,Cookies
100079,Diapers
100079,HamburgerBuns
100079,Milk
100079,Soap
100079,Softdrink
100080,Bread
100080,Candy
100080,Diapers
100080,DogFood
100080,HamburgerBuns
100080,Softdrink
100081,Bread
100081,Chips
100081,Cookies
100081,Diapers
100082,LaundryDetergent
100082,Soap
100085,BeefJerky
100085,Bread
100085,Candy
100085,Chips
100085,Cookies
100085,Diapers
100085,DogFood
100085,HamburgerBuns
100085,Softdrink
100088,Antacid
100088,Bread
100088,Candy
