method,result
MethodA,89
MethodA,72.6
MethodA,69.4
MethodA,80.4
MethodA,71.7
MethodA,75.2
MethodA,66.4
MethodA,68.4
MethodA,78.2
MethodA,58.3
MethodA,66.9
MethodA,75.9
MethodA,71.3
MethodA,70.3
MethodA,72.9
MethodA,77.8
MethodA,75.5
MethodA,88.2
MethodA,67
MethodA,83
MethodB,82.3
MethodB,65.4
MethodB,71.7
MethodB,80.7
MethodB,65.7
MethodB,88.8
MethodB,64.5
MethodB,69.1
MethodB,63.8
MethodB,87.7
MethodB,73.8
MethodB,82.8
MethodB,70.4
MethodB,74.3
MethodB,67
MethodB,67.7
MethodB,76.9
MethodB,65.4
MethodB,75.6
MethodB,67.9
MethodC,81.2
MethodC,80.4
MethodC,75.9
MethodC,75.5
MethodC,73.9
MethodC,75.7
MethodC,77.1
MethodC,79.5
MethodC,71.9
MethodC,70.7
MethodC,69.6
MethodC,74.1
MethodC,71.9
MethodC,81.5
MethodC,64.2
MethodC,69.4
MethodC,54.8
MethodC,64.1
MethodC,75.4
MethodC,63.4
