id,trt,log10APC
1,control,5.398891933
2,control,5.328415579
3,control,5.808997804
4,control,5.74337361
5,control,4.970456011
6,control,4.649048839
7,control,5.179629789
8,control,4.35989395
9,control,4.654773489
10,control,5.627966525
11,control,4.312624009
12,control,4.818825578
13,control,5.750466265
14,control,4.186655117
15,control,4.792199252
1,chlorine,3.707578221
2,chlorine,3.444489943
3,chlorine,4.128825969
4,chlorine,2.671094078
5,chlorine,2.804767282
6,chlorine,3.615955099
7,chlorine,4.444654441
8,chlorine,2.846245948
9,chlorine,3.537644963
10,chlorine,3.758440101
11,chlorine,3.211986284
12,chlorine,3.815938189
13,chlorine,3.498182049
14,chlorine,2.684023287
15,chlorine,4.812574019
1,newtrt,2.908162954
2,newtrt,2.802334774
3,newtrt,2.262341289
4,newtrt,2.316495507
5,newtrt,1.836474154
6,newtrt,2.473491083
7,newtrt,3.289214807
8,newtrt,3.072743812
9,newtrt,2.09169918
10,newtrt,1.911022321
11,newtrt,1.375515156
12,newtrt,2.597588041
13,newtrt,2.991215935
14,newtrt,2.83740067
15,newtrt,3.299989532
