Div,Team,OffPtsPerG,OffYdsPerG,OffYdsPerP,OffPen,OffTO,OffTOPPerG,DefPtsPerG,DefYdsPerG,DefYdsPerP,DefPen
NFC,ArizonaCardinals,22.6,341.7,5.5,121,-1,27.68333333,27.6,402,6,114
NFC,AtlantaFalcons,23.8,379.7,5.5,119,-5,30.93333333,24.9,355.8,5.8,127
AFC,BaltimoreRavens,33.2,407.6,6.1,109,10,34.78333333,17.6,300.6,5.2,97
AFC,BuffaloBills,19.6,330.2,5.2,117,4,29.98333333,16.2,298.2,4.8,94
NFC,CarolinaPanthers,21.2,341.8,5.1,87,-14,28.91666667,29.4,374.5,5.8,109
NFC,ChicagoBears,17.5,296.8,4.7,103,0,30.26666667,18.6,324.1,5.1,113
AFC,CincinnatiBengals,17.4,323.1,4.9,93,-14,29.63333333,26.2,393.7,6.1,122
AFC,ClevelandBrowns,20.9,340.9,5.6,122,-8,29.7,24.6,361.6,5.7,107
NFC,DallasCowboys,27.1,431.5,6.5,109,-1,29.53333333,20.1,327,5.2,102
AFC,DenverBroncos,17.6,298.6,5,110,1,29.35,19.8,337,5.4,121
NFC,DetroitLions,21.3,346.8,5.4,113,-5,29.15,26.4,400.4,5.9,117
NFC,GreenBayPackers,23.5,345.5,5.4,100,12,31.46666667,19.6,352.6,5.7,97
AFC,HoustonTexans,23.6,362,5.7,111,0,30.03333333,24.1,388.3,6.1,109
AFC,IndianapolisColts,22.6,327.4,5.2,79,2,30.18333333,23.3,346.8,5.6,111
AFC,JacksonvilleJaguars,18.8,341.8,5.4,132,-1,30.48333333,24.8,375.4,6,102
AFC,KansasCityChiefs,28.2,379.2,6.2,107,8,29.45,19.2,349.6,5.4,116
AFC,LosAngelesChargers,21.1,367.4,5.9,103,-17,30.78333333,21.6,313.1,5.4,108
NFC,LosAngelesRams,24.6,374.9,5.7,118,0,29.01666667,22.8,339.6,5.1,105
AFC,MiamiDolphins,19.1,310,4.9,92,-10,28.91666667,30.9,397.8,6,111
NFC,MinnesotaVikings,25.4,353.5,5.8,96,11,28.83333333,18.9,341.6,5.2,83
AFC,NewEnglandPatriots,26.2,354,5.2,94,21,31.7,14.1,275.9,4.7,107
NFC,NewOrleansSaints,28.6,373.9,5.9,120,15,32.31666667,21.3,333.1,5.3,92
NFC,NewYorkGiants,21.3,338.5,5.4,90,-17,28.71666667,28.2,377.3,5.7,117
AFC,NewYorkJets,17.2,273,4.6,115,-4,28.88333333,22.4,323.1,5,107
AFC,OaklandRaiders,19.6,363.7,5.9,128,-2,31.01666667,26.2,354.8,5.9,91
NFC,PhiladelphiaEagles,24.1,360.8,5.2,100,-3,33.1,22.1,331.7,5.5,115
AFC,PittsburghSteelers,18.1,276.8,4.7,111,8,28.85,18.9,304.1,4.7,115
NFC,SanFrancisco49ers,29.9,381.1,6,105,4,31.61666667,19.4,281.8,4.7,116
NFC,SeattleSeahawks,25.3,374.4,5.7,109,12,31.43333333,24.9,381.6,6,96
NFC,TampaBayBuccaneers,28.6,397.9,5.9,133,-13,30.91666667,28.1,343.9,5.1,111
AFC,TennesseeTitans,25.1,362.8,6.1,99,6,28.51666667,20.7,359.5,5.4,125
NFC,WashingtonRedskins,16.6,274.7,5,106,1,27.2,27.2,385.1,5.7,94
