Ht,Wt,yd40,Vertical,Bench,BroadJump,Cone3,Shuttle,Draftedyes
6.083,198,4.45,36.5,18,121,6.69,4.13,1
5.583,179,4.63,36,11,113,7.04,4.38,0
6.333,314,5.28,29.5,27,105,7.9,4.83,1
6.417,295,5.35,28.5,28,100,8.16,4.68,0
6.5,314,5.49,29,15,105,7,5.1,0
5.667,180,4.51,35.5,18,125,7.1,4.31,0
6.25,307,5.19,30,28,100,8.15,4.91,0
6.083,210,4.44,39.5,21,129,7.42,4.41,0
6.583,308,5.2,27.5,28,106,7.77,4.7,1
6.417,325,5.32,31,24,100,7.69,4.89,1
6.083,298,5.12,27.5,22,103,7.5,4.7,0
6.25,274,4.64,34,20,122,7.13,4.25,1
6.417,250,4.84,31.5,19,120,6.85,4.35,0
5.917,240,5.27,26,14,100,7.65,4.56,0
5.833,220,4.78,31,18,106,7.34,4.58,0
6.25,324,5.55,24.5,25,101,8.21,4.93,0
6.167,213,4.54,40,15,132,6.91,4.26,0
5.75,182,4.55,32,17,124,6.9,4.31,0
5.75,180,4.38,36.5,16,126,6.77,4.03,0
6.083,229,4.98,32.5,15,109,7.17,4.29,0
5.917,213,4.7,32.5,6,98,7.22,4.38,0
6.417,291,4.88,32,24,110,7.69,4.58,0
5.917,197,4.55,38,20,120,7.05,4.22,1
5.833,218,4.62,34.5,17,118,7.51,4.48,1
6.083,235,4.76,32.5,24,118,7.38,4.4,1
6.167,304,5.08,30,27,101,7.63,4.72,0
5.833,191,4.55,36,15,118,6.85,4.18,0
6.333,270,5.01,31,25,115,7.19,4.5,0
6.083,189,4.46,35,18,128,6.87,4.35,1
5.75,185,4.61,35.5,17,116,7.08,4.23,0
5.75,185,4.42,38,13,123,7.11,4.27,1
5.917,197,4.51,38.5,20,127,6.88,4.17,1
6.167,245,4.58,40,23,130,6.78,4.23,1
6.083,221,4.81,31.5,14,116,7.31,4.43,0
5.833,183,4.56,33.5,14,123,7.55,4.51,0
5.917,197,4.73,35.5,8,124,7.21,4.26,0
5.75,203,5.3,30,12,102,7.51,4.74,0
6.417,303,5.49,26,22,100,8.22,4.97,0
6.083,226,4.48,39.5,29,125,7,4.14,0
6.083,193,4.4,34.5,12,124,7.15,4.45,1
6.083,229,4.86,35.5,24,112,7.21,4.38,0
