weight,temp
46.2,171.1
60.4,169.4
47.2,171.2
65.1,162.5
51,171.8
47.6,169.9
56.4,171.1
46.8,169.5
47.7,164.9
41.3,174.8
50.7,169.9
46.7,170.5
52.5,173
43.6,173.2
40.8,181.5
42.2,169.4
42.4,174
56.5,166.3
38,176.9
42.8,172.6
55.2,165
50.8,161.3
45.1,171.5
57.8,172.3
50.7,171.8
51.2,163.4
47.7,176.2
49.2,172.2
62,165
38.1,176.2
29.6,191.9
42.5,176
37,181.3
49.3,172.6
54.1,165.6
43.9,180.6
39.3,180
33.3,178.8
51.7,171.1
42.7,169.8
51,175.3
35.9,179.5
40.1,177
58.3,164.4
42.7,172.5
45.4,167.4
38.5,180.4
42.4,176.6
45.6,171.7
40.8,174.5
49.4,172.8
45.1,168.1
51.6,179.3
39.6,182.3
56.7,171.9
39.5,176.3
58.1,163.5
43.3,181.6
45.4,169.6
37.2,175.4
46.7,167.6
57.4,171.9
49.4,173.9
40.5,174.2
39.5,175.3
44.5,169.7
50.8,171.8
41.7,180.6
59.7,166
56.7,164.2
47.1,174.9
51.2,167.6
44.6,172.9
53.8,176.3
32.2,177.3
36.1,181.1
49.7,171.5
42.4,177.3
54.4,163.4
56.4,162.4
47.6,168.9
45.7,171.6
46,172.9
50.5,169.9
46.3,164.1
41.9,180
52.2,167.9
45.9,180
59.2,169.4
46.7,177.5
43,176.3
48.3,174.3
50.7,175.3
40.6,175.6
50.2,169.2
46.1,174.8
59.6,173
33.2,180.1
29.6,179.1
50.9,178.5
44.2,169.7
47.2,180.7
41.1,175.1
39.3,171.6
46.7,171.1
37.1,182.5
35.8,180.3
35.4,178
49.2,169.3
38.3,179.3
51.9,172.7
46.2,175.7
33.5,183
33.2,185.9
47.4,176.2
44.9,175.3
51.6,173.6
58,156.6
40.4,176
35.9,180.2
50.3,171.7
55.6,169.3
56.9,168.8
51.7,174.7
38.2,173
49.9,169.3
51.4,171.9
35.7,179.7
41.3,167.1
50.4,178.9
44.6,167.8
52.4,174.1
46.4,182.5
29.3,182.4
43.4,174.5
32.2,189
44.4,177.2
50.2,166.5
43.9,180.3
49.2,165.4
48.3,166.4
54.2,167.9
54.7,167.7
36.3,179.4
41.5,179
64.3,163.9
37.6,176.3
42.7,175.5
41.8,178.7
50,167.4
29.1,188.5
43.4,174.8
50.6,167.8
59,168.7
49.8,175.7
32.1,185.6
