student,Format,GPA,FinalGrade
1,online,3.31,86.02
2,online,2.16,41.4
3,online,3.4,81.42
4,online,3.1,76.54
5,online,2.94,64.88
6,online,2.6,49.72
7,online,3.69,90.71
8,online,3.21,82.56
9,online,1.75,35.53
10,online,3.02,62.04
11,online,3.09,68.5
12,online,3.39,78.12
13,online,2.37,40.26
14,online,3.19,78.04
15,online,3.11,68.8
16,online,2.49,57.51
17,online,3.23,80.6
18,online,3.06,80.97
19,online,3.38,82.02
20,online,2.86,62.01
21,classroom,2.78,78.35
22,classroom,3.48,91.93
23,classroom,3.03,87.28
24,classroom,3.39,89.16
25,classroom,3.33,81.06
26,classroom,4,99.24
27,classroom,3.84,99.48
28,classroom,3.56,98.89
29,classroom,2.68,60.28
30,classroom,3.73,99.06
31,classroom,2.31,56.5
32,classroom,2.95,79.29
33,classroom,2.46,45.66
34,classroom,2.56,72.41
35,classroom,2.67,73.63
36,classroom,3.19,92.38
37,classroom,3.69,99.74
38,classroom,2.85,81.34
39,classroom,2.05,49.88
40,classroom,3.26,86.78
