PeachVariety,Diameter_cm
AR487,5.7
AR487,8.21
AR487,6.82
AR487,7.11
AR487,5
AR487,5.97
AR487,6.58
AR487,4.7
AR487,5.91
AR487,6.58
AR487,6.74
AR487,4.65
AR487,6.36
AR487,6.4
AR487,5.51
AR487,7.69
AR487,6.54
AR487,7.1
AR487,6.02
AR487,6.15
AR497,5.66
AR497,5.7
AR497,7.15
AR497,4.37
AR497,7.63
AR497,5.81
AR497,4.25
AR497,5.31
AR497,6.63
AR497,5.22
AR497,6.42
AR497,6.13
AR497,6.5
AR497,6.5
AR497,6.59
AR497,4.62
AR497,7.16
AR497,5.48
AR497,5.97
AR497,5.46
AR531,6.87
AR531,7.37
AR531,7.48
AR531,7.86
AR531,6.51
AR531,9.44
AR531,6.09
AR531,7.22
AR531,6.18
AR531,7.51
AR531,6.48
AR531,6.14
AR531,6.17
AR531,8.3
AR531,7.73
AR531,6.51
AR531,7.13
AR531,7.85
AR531,6.97
AR531,7.38
AR569,4.82
AR569,6.78
AR569,6.45
AR569,4.03
AR569,5.5
AR569,4.49
AR569,5.92
AR569,6.61
AR569,6.75
AR569,7.99
AR569,4.64
AR569,6.5
AR569,4.45
AR569,4.07
AR569,8.06
AR569,4.63
AR569,6.96
AR569,6.02
AR569,6.02
AR569,5.27
