Sales,Color,Size,Features,Reliability,Warranty,Cost
21245.16,5.4,8.9,9,3.4,6.5,9
15120.88,7.2,1.6,6.3,9.4,2.3,5.7
12351.06,8.9,5.9,7.3,8.2,9,2.9
18771.43,8.3,9.3,7.7,9.9,6,5
13092.65,8,6.5,6.6,8.5,2.1,1.6
19282.52,9,6.4,9,6.9,8.8,8.3
17800,8.4,9.8,6.1,6,5.5,6.1
15070.14,7.6,6.9,8,5.8,1.8,4
12309,1.4,8.6,6.6,5.5,5.5,1.1
15025.58,8.1,6.4,5.1,9.6,5,5.4
17616.26,9.8,5.3,2.8,5.4,8.5,8.9
20028.69,7.2,7.5,8.8,6.3,7.8,7.3
18101.86,8.5,7.1,8.3,7.3,5.8,6.1
17957.21,6.2,5.2,3.5,9,7.3,8.3
21573.42,8.5,9.6,8.9,7.7,7.4,9.8
20873.8,6.2,6.9,8.2,7.5,5.9,8.3
17848.55,6.9,5.9,5.8,5.3,8.4,7.7
17460.04,10,6.4,6.1,6.8,4.3,7.4
19832.54,8.1,5.3,3.4,9.1,6,6.8
17826.68,9.3,5.6,9.1,7.9,9.9,7.1
12752.36,6.2,6.7,8.2,6.8,6.3,4.9
14574.59,9.9,9.3,5.5,2.2,8.1,7.9
15147.71,8,5.1,5.6,6.8,8.8,5.2
21121.21,7.8,5.6,9.4,5.9,2.7,8.1
16492.66,9.2,3.8,7,3.8,9.7,8.1
16352.03,2.7,9.9,8.7,5.3,6.7,3.4
22862.16,6.1,7.9,6.6,8.6,6.6,8.6
17455.23,6.5,5.4,6.1,3.2,7,8.1
16856.96,3,9.5,7.7,5.1,9.1,6.3
18869.15,3.2,9,8.2,9.2,9.3,6.5
15501.84,5.6,5.8,2.8,9.1,8.9,7.7
18911.39,8.5,7.7,6.1,8.4,7.5,7.2
16396.77,7,7,7.5,3.5,6.3,8.3
18269.15,3.6,2,8.5,9.3,1.9,8.9
22122.59,8.7,5.4,6.3,7.1,9.4,9.5
17515.73,4.3,1.3,6.9,8.1,5.9,7
23812.48,9.9,9.4,6.7,8.1,8.3,9.1
14550.42,8.2,3.1,5.6,1.4,6,8
15506.29,8.4,8.7,5.9,8.4,6,8
23262.28,7.4,9.1,8.6,9.3,6.1,8.7
