Purchase,Configuration,Size
yes,A,small
yes,A,small
no,A,small
yes,A,small
yes,A,small
yes,A,small
no,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
no,A,small
yes,A,small
no,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
no,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
no,A,small
no,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
no,A,small
no,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
no,A,small
yes,A,small
yes,A,small
no,A,small
no,A,small
no,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
yes,A,small
no,B,small
yes,B,small
yes,B,small
yes,B,small
yes,B,small
yes,B,small
yes,B,small
no,B,small
yes,B,small
yes,B,small
yes,B,large
no,B,large
no,B,large
yes,B,large
no,B,large
no,B,large
yes,B,large
yes,B,large
no,B,large
yes,B,large
yes,B,large
no,B,large
no,B,large
no,B,large
no,B,large
no,B,large
yes,B,large
no,B,large
yes,B,large
yes,B,large
no,B,large
no,B,large
yes,B,large
no,B,large
no,B,large
no,B,large
yes,B,large
yes,B,large
no,B,large
no,B,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
yes,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
yes,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
no,C,large
yes,C,large
no,C,large
no,C,large
no,C,large
no,C,large
yes,A,small
