Event,emp_id,days_duration,project_cost
1,10008,13,189311
2,10007,11,287022
3,10009,6,14428
4,10003,41,122507
5,10005,15,29172
6,10004,63,45874
7,10012,5,2826
8,10005,48,0
9,10005,15,20545
10,10009,14,76415
11,10002,22,22081
12,10010,73,67723
13,10007,5,21249
14,10012,21,23886
15,10006,13,213075
16,10008,5,71139
17,10006,22,278241
18,10011,5,15071
19,10008,13,4417
20,10007,5,64358
21,10006,4,101383
22,10007,4,113266
23,10005,8,16402
24,10008,4,148273
25,10010,18,9121
26,10011,1,255399
27,10004,3,72504
28,10002,18,94892
29,10007,4,56588
30,10001,12,100046
31,10009,4,65412
32,10009,41,124567
33,10005,26,398208
34,10002,9,42815
35,10002,4,25280
36,10004,36,175394
37,10001,9,69996
38,10011,3,62179
39,10010,36,25498
40,10003,21,256481
41,10002,27,116930
42,10008,17,105692
43,10005,54,3842
44,10001,7,54127
45,10007,36,21027
46,10001,31,46724
47,10007,1,83445
48,10003,10,98896
49,10002,27,150419
50,10008,37,69163
51,10004,31,56431
52,10008,44,14014
53,10006,23,15880
54,10008,1,4154
55,10011,9,22093
56,10006,15,186116
57,10005,29,79824
58,10007,44,56035
59,10010,78,1020
60,10003,5,25856
61,10001,51,23704
62,10006,13,121862
63,10012,16,78132
64,10001,7,42699
65,10007,81,1067
66,10006,47,73800
67,10011,46,137130
68,10006,3,140317
69,10010,3,139443
70,10003,25,982
71,10002,13,80767
72,10001,38,38031
73,10009,17,9300
74,10003,21,105979
75,10002,25,33800
76,10004,32,3775
77,10012,7,44711
78,10004,3,1192
79,10008,37,389683
80,10001,15,247501
81,10012,102,2585
82,10005,6,9417
83,10003,19,15923
84,10008,31,115598
85,10009,40,70963
86,10012,4,2055
87,10006,14,112714
88,10007,46,182062
89,10007,1,117369
90,10003,7,45262
91,10011,12,38783
92,10003,70,52713
93,10005,10,381947
94,10004,31,102151
95,10002,39,86634
96,10011,4,455
97,10007,31,73601
98,10002,18,78827
99,10011,27,222071
100,10008,21,175095
101,10004,1,47849
102,10010,46,108591
103,10001,4,27259
104,10011,3,28894
105,10003,7,208022
106,10012,17,177613
107,10006,30,101779
108,10010,10,26100
109,10003,2,297933
110,10002,20,81038
111,10001,0,241063
112,10009,59,43425
113,10001,8,38725
114,10010,17,29424
115,10002,10,93004
116,10012,15,7287
117,10006,6,27277
118,10005,18,14728
119,10001,13,42
120,10003,8,37156
121,10007,20,0
122,10005,10,157447
123,10008,36,86221
124,10001,23,17219
125,10011,33,102067
126,10011,19,84130
127,10010,0,216862
128,10011,27,29319
129,10003,12,0
130,10012,60,39409
131,10006,98,68785
132,10008,85,93185
133,10003,22,0
134,10003,3,60207
135,10008,3,351177
136,10001,12,10668
137,10009,59,8237
138,10004,2,28832
139,10010,31,82826
140,10008,20,102896
141,10006,3,771
142,10006,21,10281
143,10003,20,172722
144,10012,27,102795
145,10001,17,410519
146,10004,50,107496
147,10004,18,40253
148,10003,2,3751
149,10009,43,185078
150,10009,62,251362
151,10007,65,241779
152,10002,25,139810
153,10002,17,31162
154,10010,8,233402
155,10010,40,214938
156,10004,10,19649
157,10001,21,260797
158,10007,12,17452
159,10012,18,191363
160,10005,4,166662
161,10012,52,17178
162,10011,23,418181
163,10003,34,0
164,10004,2,102657
165,10010,7,23169
166,10006,2,40038
167,10011,101,15927
168,10009,19,209251
169,10003,1,151472
170,10004,8,159156
171,10005,33,72448
172,10011,8,117787
173,10005,15,90941
174,10006,36,68566
175,10003,11,129768
176,10001,17,11060
177,10003,4,236819
178,10005,0,131471
179,10009,22,170123
180,10009,70,449043
181,10004,8,37011
182,10002,7,21536
183,10008,22,53715
184,10009,11,91238
185,10012,31,5898
186,10001,23,17611
187,10003,115,27658
188,10006,61,310613
189,10010,24,36128
190,10004,58,105390
191,10010,67,92422
192,10001,41,18732
193,10006,60,84808
194,10006,16,0
195,10012,0,87707
196,10012,22,12033
197,10005,4,267951
198,10007,7,14378
199,10009,33,56481
200,10002,4,404527
