id,store,brand,sales
1,Fayetteville,Bounty,178.15
2,Fayetteville,Bounty,177.08
3,Fayetteville,Bounty,190.51
4,Fayetteville,Bounty,169.58
5,Fayetteville,Bounty,176.68
6,Fayetteville,Bounty,180.12
7,Fayetteville,Bounty,176.48
8,Fayetteville,Bounty,184.54
9,Fayetteville,Bounty,184.92
10,Fayetteville,Bounty,170.15
11,Conway,Bounty,133.35
12,Conway,Bounty,126.38
13,Conway,Bounty,125.06
14,Conway,Bounty,138.15
15,Conway,Bounty,132.89
16,Conway,Bounty,127.46
17,Conway,Bounty,131.44
18,Conway,Bounty,128.3
19,Conway,Bounty,131.94
20,Conway,Bounty,133.75
21,Fayetteville,Brawny,137.08
22,Fayetteville,Brawny,142.23
23,Fayetteville,Brawny,144.03
24,Fayetteville,Brawny,140.16
25,Fayetteville,Brawny,140.86
26,Fayetteville,Brawny,143.87
27,Fayetteville,Brawny,135.29
28,Fayetteville,Brawny,135.11
29,Fayetteville,Brawny,143.24
30,Fayetteville,Brawny,135.42
31,Conway,Brawny,83.55
32,Conway,Brawny,86.82
33,Conway,Brawny,89.58
34,Conway,Brawny,83.09
35,Conway,Brawny,90.08
36,Conway,Brawny,89.86
37,Conway,Brawny,90.61
38,Conway,Brawny,95.43
39,Conway,Brawny,81.35
40,Conway,Brawny,83
41,Fayetteville,GreatValue,157.1
42,Fayetteville,GreatValue,156.67
43,Fayetteville,GreatValue,148.76
44,Fayetteville,GreatValue,148.85
45,Fayetteville,GreatValue,142.19
46,Fayetteville,GreatValue,145.95
47,Fayetteville,GreatValue,143.97
48,Fayetteville,GreatValue,149.26
49,Fayetteville,GreatValue,152.51
50,Fayetteville,GreatValue,148.15
51,Conway,GreatValue,94.58
52,Conway,GreatValue,103.29
53,Conway,GreatValue,97.6
54,Conway,GreatValue,102.57
55,Conway,GreatValue,118.46
56,Conway,GreatValue,101.03
57,Conway,GreatValue,98.92
58,Conway,GreatValue,93.33
59,Conway,GreatValue,96.08
60,Conway,GreatValue,91.46
;,,,
run;,,,
