restaurant,before,after; 
1,69.04,72.72
2,57.95,57.85
3,70.77,77.4
4,58.32,69.7
5,73.16,80.19
6,60.76,65.95
7,61.97,64.34
8,56.88,64.28
9,59.02,73.22
10,66.3,75.28
11,57.03,64.95
12,63.2,72.1
13,60.9,62.35
14,69.23,65.5
15,65.06,62.44
16,63.49,72.26
17,68.1,68.24
18,65.96,71.2
19,63.18,74.27
20,63.55,73.55
21,77.04,65.26
22,56.02,65.73
23,66.55,72.3
24,64.28,72.88
25,60.33,67.14
26,71.93,75.2
27,67.01,65.21
28,64.45,70.16
29,70.86,75.06
30,59.51,68.17
31,78.81,69.84
32,62.57,69.09
33,59.88,72.92
34,75.37,63.99
35,62.68,79
36,70.26,70.88
37,63.85,75.18
38,62.21,64.16
39,65.46,66.02
40,61.39,70.47
