humidity,airflow,yield
low,low,56.30177294
low,low,24.21750801
low,low,19.59048538
low,low,37.50730373
low,low,42.46787893
low,low,41.4388908
low,low,42.49497395
low,low,20.38966115
low,low,55.8944871
low,low,27.45992325
low,high,37.82356869
low,high,41.2229861
low,high,40.98187502
low,high,42.82294918
low,high,32.48143569
low,high,52.38274849
low,high,58.75405546
low,high,23.86721005
low,high,55.92104938
low,high,29.90330965
high,low,59.33271027
high,low,39.97856215
high,low,44.00519174
high,low,21.79185876
high,low,31.19436796
high,low,27.65644702
high,low,44.16026241
high,low,20.82972489
high,low,42.28050512
high,low,43.51055485
high,high,34.02816612
high,high,41.78341365
high,high,46.30474541
high,high,32.07174159
high,high,40.93830779
high,high,45.17047514
high,high,37.13793582
high,high,39.53142122
high,high,54.69734869
high,high,30.7540837
