id,Brand,Rating
1,Dove,74
2,Dove,88
3,Dove,90
4,Dove,84
5,Dove,86
6,Dove,76
7,Dove,78
8,Dove,82
9,Dove,80
10,Dove,80
11,Dove,70
12,Dove,83
13,Dove,83
14,Dove,82
15,Dove,86
16,Dove,76
17,Dove,74
18,Dove,80
19,Dove,82
20,Dove,81
21,Dial,70
22,Dial,65
23,Dial,68
24,Dial,79
25,Dial,73
26,Dial,67
27,Dial,67
28,Dial,73
29,Dial,71
30,Dial,74
31,Dial,76
32,Dial,73
33,Dial,69
34,Dial,68
35,Dial,75
36,Dial,68
37,Dial,70
38,Dial,62
39,Dial,70
40,Dial,62
41,Zest,74
42,Zest,70
43,Zest,82
44,Zest,83
45,Zest,61
46,Zest,69
47,Zest,72
48,Zest,72
49,Zest,64
50,Zest,69
51,Zest,73
52,Zest,81
53,Zest,70
54,Zest,69
55,Zest,83
56,Zest,74
57,Zest,68
58,Zest,79
59,Zest,63
60,Zest,69
