Student,Exam,Homework,Project
1,48.27,48.24,57.71
2,84,92.89,91.81
3,72.93,74.39,76.36
4,93.67,100,100
5,49.63,50,51.45
6,81.61,90.61,75.77
7,82.69,93.65,88.36
8,84.05,92.73,94.72
9,60.41,68.85,63.84
10,79.54,91.68,90.67
11,56.58,63.05,70.37
12,98.87,100,100
13,98.79,100,100
14,83.06,92.31,95.29
15,49.17,55.25,62.92
16,98.26,100,100
17,98.73,100,100
18,75.88,85.76,81
19,37.53,36.77,34.96
20,72.43,76.8,76.28
21,81.01,86.67,88.08
22,91.3,100,96.16
23,74.56,87.67,88.95
24,72.05,80.16,76.01
25,45.57,48.34,41.15
26,81.15,87.03,91.72
27,36.36,39.81,41.12
28,95.34,100,100
29,86.53,95.59,91.37
30,94.55,100,100
31,67.09,78.87,82.71
32,79.06,88.75,91.94
33,54.75,65.15,65.65
34,83.78,94.2,98.68
35,39.05,42.28,46.96
36,96.98,100,100
37,79.88,89.81,91.22
38,76.42,82.26,89.27
39,60.97,70.17,67.63
40,94.43,100,100
41,77.8,91.65,96.22
42,91.2,100,99.3
43,53.67,54.67,58.4
44,76.12,87.06,87.18
45,51.99,52.56,49.53
46,75.54,83.03,81.72
47,68.98,75.74,76.87
48,83.55,92.77,86.5
49,60.32,69.07,64.46
50,91.99,100,100
51,66.28,66.43,65.69
52,99.27,100,100
53,65.86,78.46,74.24
54,94.09,100,100
55,34.58,37.28,36.95
56,72.46,78.78,76.61
57,51.25,58.49,59.3
58,75.75,88.57,84.45
59,50.48,58.15,60.54
60,97.7,100,97.64
61,86.41,96.85,92.55
62,79.25,86.19,85.55
63,30.82,32.31,29.56
64,79,86.1,84.04
65,71.78,80.48,70.26
66,87.99,95.15,97.4
67,83.31,91.32,99.05
68,98.24,100,100
69,41.82,50.33,51.83
70,96.27,100,100
71,74.8,85.13,76.76
72,97.21,100,100
73,38.37,44.46,45.87
74,73.29,80.38,81.57
75,49.58,51.95,54.54
76,70.51,74.26,78.19
77,45.9,45.21,46.2
78,86.83,88.41,82.37
79,95.41,100,94
80,88.84,95.97,100
81,83.49,95.34,97.51
82,89.28,100,97.73
83,72.63,81.5,80.92
84,98.7,100,100
85,66.01,71.79,72.59
86,85.44,93.7,100
87,88.14,100,96.82
88,97.49,100,100
89,31.25,40.52,49.82
90,86.85,95.18,84.33
91,82.09,89.45,91.89
92,70.72,75.38,77.45
93,94.61,100,100
94,73.23,81.11,81.83
95,82.58,91.26,100
96,87.26,90.88,93.69
97,64.13,74.45,71.84
98,95.56,100,100
99,68.8,-77.73,79.87
100,79,85.67,84.59
101,55.79,55.22,61.23
102,81.44,90.78,92.43
103,41.3,48.8,52.17
104,94.26,100,100
105,63.64,70.77,74.09
106,79.39,87.63,90.16
107,91.8,100,100
108,72.65,80.42,83.49
109,74.95,82.1,80.22
110,91.11,100,100
111,82.08,89.85,89.61
112,91.67,99.9,100
113,42.13,47.72,53.29
114,69.95,81.62,83.15
115,96.07,100,100
116,99.4,100,100
117,97.28,100,100
118,83.84,96.44,92.43
119,84.91,88.34,79.26
