Student,FinalGrade1403,Transfer,ACT_Score,ACT_Math,HS_GPA,success
1,83,no,23,14,3.58,yes
2,98,yes,30,32,3.6,yes
3,89,no,24,21,2.77,yes
4,47,no,21,24,2.89,no
5,91,no,24,18,2.85,yes
6,78,no,31,31,3.52,yes
7,69,no,25,25,3.25,yes
8,97,no,22,25,2.58,yes
9,80,no,28,26,2.42,yes
10,70,yes,24,24,2.89,no
11,84,no,25,27,3.08,yes
12,77,no,26,28,2.74,yes
13,80,no,26,19,2.32,yes
14,49,no,28,25,3.13,yes
15,96,yes,31,33,3.71,yes
16,94,no,26,29,2.71,yes
17,87,no,22,27,3.87,yes
18,84,no,24,21,2.62,yes
19,99,no,19,20,3.22,yes
20,78,no,19,20,3.04,yes
21,79,no,21,23,2.23,yes
22,47,no,20,21,2.77,no
23,82,no,23,26,3.06,yes
24,91,no,15,20,3.25,no
25,57,no,25,22,2.65,yes
26,90,no,18,19,2.78,yes
27,70,no,19,16,2.24,yes
28,91,no,23,25,3.38,yes
29,78,no,23,27,2.92,yes
30,89,no,23,19,2.22,yes
31,92,no,14,13,2.54,yes
32,67,no,19,18,2.7,no
33,99,no,25,20,3.05,yes
34,74,no,21,24,2.84,yes
35,71,no,22,21,2.73,yes
36,89,no,25,25,3.07,yes
37,77,no,19,25,2.53,yes
38,50,no,20,18,2.84,yes
39,86,no,23,16,2.51,yes
40,97,no,26,30,3.11,yes
41,87,no,19,18,2.61,yes
42,87,no,22,21,2.26,yes
43,93,no,20,21,2.5,yes
44,77,no,32,20,3.39,yes
45,88,no,27,23,2.39,yes
46,53,no,21,23,2.85,no
47,85,no,27,34,3.21,yes
48,77,no,27,25,3.28,yes
49,98,no,24,20,3.89,yes
50,62,no,23,26,2.28,yes
51,95,no,33,18,3.93,yes
52,86,no,25,30,3.75,yes
53,96,no,20,16,2.6,yes
54,52,no,18,24,3.32,yes
55,79,no,18,21,2.22,yes
56,92,no,13,4,2.09,no
57,61,no,22,21,4,yes
58,84,no,29,35,3.48,yes
59,90,no,26,22,3.4,yes
60,68,no,25,36,2.67,yes
61,78,yes,23,28,2.02,yes
62,83,no,22,18,2.86,yes
63,83,no,26,19,2.61,yes
64,95,no,22,25,2.74,yes
65,88,no,18,19,2.2,yes
66,84,no,16,7,3.63,yes
67,84,no,18,18,3.52,yes
68,60,no,23,21,3.83,no
69,94,no,19,16,2.73,no
70,84,no,31,29,2.25,yes
71,71,yes,15,21,2.24,yes
72,74,no,22,29,2.07,yes
73,60,no,31,26,2.99,yes
74,96,no,24,23,2.76,yes
75,61,no,20,21,2.56,yes
76,76,no,20,24,2.32,yes
77,75,no,16,9,3.01,no
78,76,no,24,23,2.72,yes
79,82,no,23,18,2.59,yes
80,52,no,23,28,2.19,yes
