Stdnt_Nbr,Answer
1,43RD_PRESIDENT
1,88562
1,BASEBALL
1,BIRD
1,BLACK
1,CAKE
1,CAR
1,CHRISTMAS
1,COMEDY
1,EAGLE
1,FOREST
1,INTERNET
1,LCD_TV
1,MATH
1,METAL
1,ORANGE
1,RUSSELLVILLE
1,SIMPSONS
1,SQUARE
1,SUMMER
2,9
2,APPLE
2,BEACH
2,BLACK
2,CAKE
2,CHICAGO
2,CHRISTMAS
2,CIRCLE
2,COMEDY
2,COUNTRY
2,CSI
2,DOG
2,FOOTBALL
2,INTERNET
2,LION
2,MATH
2,PLASMA_TV
2,PUBLIC_SPEAKING
2,TRUCK
2,WINTER
3,976431
3,ATHANS
3,BEACH
3,BLUE
3,BROWNIE
3,CHRISTMAS
3,COMEDY
3,DARK
3,DVR/TIVO
3,FOOTBALL
3,IRREGULAR
3,LION
3,METAL
3,MOTORCYCLE
3,MOVIE
3,PEACHES
3,SCIENCE
3,SMALLVILLE
3,SNAKE
3,SUMMER
4,826
4,BANANA
4,BROWNIE
4,CAT
4,CHRISTMAS
4,COMEDY
4,DVR/TIVO
4,ENGLISH
4,HOUSE
4,LAKE
4,LION
4,MUSIC
4,PINK
4,REGGAETON
4,ROME
4,SPRING
4,STAR
4,VAN
4,VOLLEYBALL
4,WATER
5,3
5,ACTION
5,AMERICAN_IDOL
5,APPLE
5,ART
5,BEACH
5,CANDY
5,CAR
5,CAT
5,CHRISTMAS
5,CIRCLE
5,ELEPHANT
5,FOOTBALL
5,GREEN
5,INTERNET
5,MP3_PLAYER
5,PUBLIC_SPEAKING
5,ROCK
5,RUSSELLVILLE
5,SUMMER
6,42
6,ACTION
6,APPLE
6,CAKE
6,CAR
6,CIRCLE
6,CSI
6,EAGLE
6,FOOTBALL
6,FOREST
6,INTERNET
6,MATH
6,NEW_YORK
6,PLASMA_TV
6,RED
6,ROCK
6,SNAKE
6,SNAKES
6,WEASEL_STOMPING_DAY
6,WINTER
7,42
7,BASEBALL
7,BEACH
7,BLACK
7,CANDY
7,CAT
7,CHRISTMAS
7,CIRCLE
7,COMEDY
7,EAGLE
7,MP3_PLAYER
7,MUSIC
7,PAOLA
7,PEAR
7,PHYSICAL_SCIENCE
7,PUBLIC_SPEAKING
7,ROCK
7,SIMPSONS
7,SPRING
7,TRUCK
8,666
8,ACTION
8,BLACK
8,BOOGIE_MAN
8,CANDY
8,CAR
8,CSI
8,DEATH_METAL
8,DOG
8,ENGLISH
8,FALL
8,FOOTBALL
8,INTERNET
8,LION
8,MOUNTAIN
8,MP3_PLAYER
8,ORANGE
8,RUSSELLVILLE
8,THANKSGIVING
8,TRIANGLE
9,7777
9,APPLE
9,BASEBALL
9,BEACH
9,CHRISTMAS
9,CIRCLE
9,CSI
9,FALL
9,GREEN
9,HORROR
9,LION
9,MATH
9,MUSIC
9,NY
9,PIE
9,PLASMA_TV
9,ROCK
9,SNAKE
9,SPODERS
9,SUV
10,678768
10,ACTION
10,BLUE
10,BOOK
10,CAT
10,CHRISTMAS
10,DVD
10,EAGLE
10,EASY_LISTENING
10,FOOTBALL
10,FRUIT
10,HOUSE
10,KINGSTON
10,MOUNTAIN
10,OCTAGON
10,ORANGE
10,PUBLIC_SPEAKING
10,SOCIAL_SCIENCE
10,SPRING
10,TRUCK
11,666
