live,tenders
3030,120
3540,134
3080,138
3030,127
3750,153
3880,157
2380,98
2840,106
3520,120
3310,129
3440,139
2860,124
2540,116
3710,147
2540,93
2700,93
2620,102
2510,98
2510,113
2160,78
3520,121
2740,117
3340,140
2870,114
2820,98
2410,112
3290,135
3700,155
2730,131
2570,108
2490,100
2690,113
2950,118
3330,112
3347,132
2766,112
3340,139
3242,133
3731,149
3189,123
2944,114
2776,119
3147,124
2222,100
3103,122
2979,121
2650,119
3291,134
2976,107
2248,103
3307,120
2596,89
3819,151
3912,161
2857,112
2902,117
3090,126
2680,123
3107,117
3037,109
2337,103
3895,140
2569,96
3224,126
3953,152
3248,137
4031,177
2537,103
2514,101
3787,140
2897,117
2700,113
3439,136
3888,150
2498,84
2207,102
3155,130
