Gender,live,tenders,farmscore
1,3030,120,4
0,3540,134,29
1,3080,138,3
0,3030,127,8
0,3750,153,22
1,3880,157,22
0,2380,98,28
1,2840,106,2
1,3520,120,25
1,3310,129,19
0,3440,139,27
0,2860,124,30
0,2540,116,19
0,3710,147,12
1,2540,93,10
0,2700,93,5
1,2620,102,8
0,2510,98,1
1,2510,113,25
0,2160,78,1
0,3520,121,4
1,2740,117,13
0,3340,140,9
1,2870,114,15
1,2820,98,10
0,2410,112,12
0,3290,135,1
0,3700,155,12
1,2730,131,5
1,2570,108,11
1,2490,100,15
1,2690,113,19
1,2370,98,4
0,2950,118,19
0,3330,112,22
1,3347,132,14
1,2766,112,11
1,3340,139,5
1,3242,133,24
0,3731,149,20
1,3189,123,8
0,2944,114,16
0,2776,119,26
0,3147,124,12
1,2222,100,27
0,3103,122,16
0,2979,121,15
1,2650,119,12
1,3291,134,20
1,2976,107,7
1,2248,103,19
1,3307,120,12
0,2596,89,12
1,3819,151,8
0,3912,161,16
1,2857,112,19
1,2902,117,18
1,3090,126,4
1,2680,123,16
0,3107,117,8
1,3037,109,3
0,2337,103,15
0,3895,140,4
0,2569,96,29
1,3224,126,10
1,3953,152,9
0,3248,137,29
0,4031,177,12
0,2537,103,28
0,2514,101,24
0,3787,140,22
1,2897,117,18
0,2700,113,26
0,3439,136,3
1,3888,150,27
0,2498,84,20
0,2207,102,23
1,3155,130,1
