visitors,streamingTV,socialMedia,billboardsPrint
2022,770.585,33.353,11.31464731
1846,321.079,62.477,9.952767561
1095,501.394,7.912,11.06828029
1569,346.609,38.112,6.133999421
2109,592.539,30.83,9.740358886
1771,212.891,40.172,7.875393272
1412,483.623,29.851,10.01672253
2685,894.014,150.39,12.39191458
3219,491.915,179.97,10.58817024
4684,555.748,90.438,10.85802939
2980,741.948,127.858,12.12213274
2293,524.977,68.48,8.357098662
1092,223.153,41.325,5.400338674
1793,499.121,67.579,7.273601713
3747,267.002,73.545,13.22157393
3135,849.579,149.361,9.530386934
2155,377.057,157.731,8.830124408
4828,459.236,30.268,11.0491119
1188,89.749,90.324,8.761343466
2370,511.483,111.929,9.574869335
2412,801.082,59.557,9.394350716
1312,177.16,15.896,8.315542528
877,521.575,4.885,5.464961883
4703,438.217,36.285,7.152342913
1967,405.201,159.722,9.18940393
3912,716.721,75.349,8.041757094
1899,387.74,98.243,10.25040203
2880,714.411,176.35,12.42747232
2739,668.813,83.137,11.20657977
1416,802.472,3.061,8.381126091
2124,456.191,109.102,6.556692855
2095,669.867,73.186,7.981197583
1199,434.424,5.953,8.17551468
2586,729.68,78.924,9.614520706
3665,327.074,98.006,11.02422259
1410,426.559,32.909,8.971374504
2201,437.578,164.872,11.59276927
931,180.193,109.488,13.2610483
1476,341.115,72.437,10.33562909
1870,320.551,101.132,7.256116602
2478,654.497,85.901,12.16639064
2965,860.765,97.7,10.75818522
1916,271.732,246.757,7.492915771
2066,498.356,73.037,10.26644659
4893,463.859,66.287,7.446381566
1743,178.583,149.6,8.05248518
2028,396.139,96.507,11.10063377
1814,606.282,35.406,7.906632275
1035,508.98,2.771,12.10833437
2366,901.592,99.55,7.772353125
1223,299.967,38.914,10.61099289
3809,204.196,31.734,13.69754212
2254,516.114,169.484,9.997672719
871,232.546,51.693,14.07407089
2089,958.786,4.848,12.83878696
3027,697.431,69.874,6.965616757
1559,485.974,39.484,8.623018464
2533,619.205,117.663,7.350063248
1765,338.867,99.415,13.13734158
2515,627.823,119.533,10.05846203
2432,512.49,72.25,10.82906245
1611,559.61,37.235,6.79590113
2780,344.115,74.991,9.421428372
2179,614.168,27.051,12.30119282
2288,565.595,63.422,10.51378217
1223,394.617,7.398,7.143333853
878,329.251,33.918,10.21623064
1625,649.259,2.311,12.05525776
2248,537.59,112.591,10.91880315
1198,402.543,21.694,9.887337626
1147,141.495,78.102,10.5263051
1842,470.539,98.064,9.496908454
1156,361.894,53.413,11.713082
2334,597.492,147.365,9.603141146
1676,519.053,21.059,9.444254891
2561,670.771,58.732,10.7704245
2328,891.466,22.564,10.87017433
2298,439.686,113.958,3.756193273
3644,632.967,81.634,9.08100221
1969,340.746,141.916,9.741761797
4837,1237.19,46.731,8.086679234
