Class,Age,Gender,Survived
1,29,F,Yes
1,2,F,No
1,30,M,No
1,25,F,No
1,1,M,Yes
1,47,M,Yes
1,63,F,Yes
1,39,M,No
1,58,F,Yes
1,71,M,No
1,47,M,No
1,19,F,Yes
1,50,F,Yes
1,24,M,No
1,36,M,No
1,37,M,Yes
1,47,F,Yes
1,26,M,Yes
1,25,M,No
1,25,M,Yes
1,19,F,Yes
1,28,M,Yes
1,45,M,No
1,39,M,Yes
1,30,F,Yes
1,58,F,Yes
1,45,F,Yes
1,22,F,Yes
1,41,M,No
1,48,M,No
1,44,F,Yes
1,59,F,Yes
1,60,F,Yes
1,45,M,No
1,53,F,Yes
1,58,F,Yes
1,36,M,Yes
1,33,M,No
1,36,M,Yes
1,36,F,Yes
1,14,F,Yes
1,11,M,Yes
1,49,M,No
1,36,M,No
1,46,M,No
1,47,F,Yes
1,27,M,Yes
1,31,F,Yes
1,27,M,No
1,26,F,Yes
1,64,F,Yes
1,37,M,No
1,39,F,Yes
1,55,F,Yes
1,70,M,No
1,69,F,Yes
1,36,F,Yes
1,39,M,No
1,38,F,Yes
1,27,M,Yes
1,31,M,No
1,27,F,Yes
1,31,M,Yes
1,17,F,Yes
1,4,M,Yes
1,27,F,Yes
1,50,M,No
1,48,F,Yes
1,49,M,Yes
1,48,F,Yes
1,39,M,No
1,23,F,Yes
1,53,F,Yes
1,36,F,No
1,30,M,No
1,24,F,Yes
1,19,M,No
1,28,F,Yes
1,23,F,Yes
1,64,M,No
1,60,F,Yes
1,49,M,Yes
1,44,M,Yes
1,22,F,Yes
1,60,M,Yes
1,48,F,Yes
1,37,M,No
1,35,F,Yes
1,47,M,No
1,22,F,Yes
1,45,F,Yes
1,49,M,Yes
1,71,M,No
1,54,M,Yes
1,38,M,No
1,19,F,Yes
1,58,F,Yes
1,45,F,Yes
1,23,M,Yes
1,46,M,No
1,25,M,Yes
1,21,F,Yes
1,48,M,Yes
1,49,F,Yes
1,45,M,No
1,36,F,Yes
1,55,M,No
1,52,F,Yes
1,24,F,Yes
1,16,F,Yes
1,44,F,Yes
1,51,F,Yes
1,42,M,No
1,35,F,Yes
1,35,M,Yes
1,38,M,Yes
1,35,F,Yes
1,50,F,No
1,49,M,Yes
1,46,M,No
1,58,M,No
1,41,M,No
1,42,M,Yes
1,40,F,Yes
1,42,M,No
1,55,F,Yes
1,50,F,Yes
1,16,F,Yes
1,29,M,No
1,21,F,Yes
1,30,M,No
1,15,F,Yes
1,30,M,No
1,46,M,No
1,54,M,No
1,36,M,Yes
1,28,M,No
1,65,M,No
1,33,F,Yes
1,44,M,No
1,37,F,Yes
1,55,M,No
1,47,M,No
1,36,M,No
1,58,M,No
1,31,F,Yes
1,23,F,Yes
1,19,F,Yes
1,64,M,No
1,64,M,No
1,22,F,Yes
1,28,M,No
1,22,M,No
1,18,M,No
1,17,F,Yes
1,52,M,Yes
1,46,M,No
1,56,F,Yes
1,43,F,Yes
1,31,M,No
1,33,F,Yes
1,27,F,Yes
1,55,M,No
1,54,F,Yes
1,61,M,No
1,48,F,Yes
1,18,F,Yes
1,13,M,Yes
1,21,F,Yes
1,34,M,Yes
1,40,F,Yes
1,36,M,Yes
1,50,M,No
1,39,F,Yes
1,56,M,Yes
1,28,M,Yes
1,56,M,No
1,56,M,No
1,24,M,No
1,18,F,Yes
1,24,M,Yes
1,23,F,Yes
1,45,M,Yes
1,40,F,Yes
1,6,M,Yes
1,57,M,No
1,32,M,Yes
1,62,M,No
1,54,M,Yes
1,43,F,Yes
1,52,F,Yes
1,62,F,Yes
1,67,M,No
1,63,F,No
1,61,M,No
1,46,F,Yes
1,52,M,No
1,39,F,Yes
1,18,F,Yes
1,48,M,Yes
1,49,M,No
1,39,F,Yes
1,17,M,Yes
1,46,M,No
1,31,M,Yes
1,61,M,No
1,47,M,No
1,64,M,No
1,60,F,Yes
1,60,M,No
1,55,F,Yes
1,54,M,No
1,21,M,No
1,57,M,No
1,45,F,Yes
1,31,F,Yes
1,50,M,No
1,50,F,Yes
1,27,M,No
1,20,F,Yes
1,51,M,No
1,21,M,Yes
1,36,F,Yes
1,40,M,No
1,32,M,No
1,33,M,No
2,30,M,No
2,28,F,Yes
2,18,M,No
2,34,M,No
2,32,F,Yes
2,57,M,No
2,18,M,No
2,23,M,No
2,36,F,Yes
2,28,M,No
2,51,M,No
2,32,M,Yes
2,19,F,Yes
2,28,M,No
2,36,F,Yes
2,4,F,Yes
2,1,M,Yes
2,12,F,Yes
2,34,M,Yes
2,19,F,Yes
2,23,M,No
2,26,M,No
2,27,M,No
2,15,F,Yes
2,45,M,No
2,40,F,Yes
2,20,F,Yes
2,25,M,No
2,36,F,Yes
2,25,M,No
2,42,F,Yes
2,26,M,Yes
2,26,F,Yes
2,0.83,M,Yes
2,31,F,Yes
2,19,M,No
2,54,M,No
2,44,F,No
2,52,M,No
2,30,M,No
2,30,F,No
2,29,M,No
2,29,M,No
2,27,M,No
2,24,M,Yes
2,35,M,No
2,31,F,Yes
2,8,F,Yes
2,22,F,No
2,30,F,No
2,20,M,No
2,21,M,No
2,49,F,Yes
2,8,M,Yes
2,28,F,Yes
2,18,M,No
2,28,M,No
2,22,F,Yes
2,25,M,No
2,18,M,No
2,32,F,Yes
2,18,F,Yes
2,42,M,No
2,34,F,Yes
2,8,M,Yes
2,23,M,No
2,21,M,No
2,19,M,No
2,38,M,No
2,38,F,No
2,35,M,No
2,35,M,No
2,38,M,No
2,24,F,Yes
2,16,M,No
2,26,M,No
2,45,M,No
2,24,M,No
2,21,M,No
2,22,M,No
2,34,M,No
2,30,M,No
2,50,M,No
2,30,M,No
2,23,F,Yes
2,1,M,Yes
2,44,M,No
2,28,M,No
2,6,F,Yes
2,30,M,Yes
2,43,M,No
2,45,F,Yes
2,7,F,Yes
2,24,F,Yes
2,24,F,Yes
2,49,M,No
2,48,F,Yes
2,34,M,No
2,32,M,No
2,21,M,No
2,18,F,No
2,53,F,Yes
2,23,M,No
2,21,F,Yes
2,52,M,No
2,42,M,No
2,36,F,Yes
2,21,M,No
2,41,M,Yes
2,33,M,No
2,17,F,Yes
2,23,F,Yes
2,34,M,No
2,22,F,No
2,45,F,Yes
2,31,M,No
2,30,M,No
2,26,F,No
2,34,F,Yes
2,26,M,No
2,22,F,Yes
2,1,F,Yes
2,3,F,Yes
2,25,M,No
2,48,M,No
2,57,F,No
2,2,M,Yes
2,27,M,No
2,19,F,Yes
2,30,M,No
2,20,M,No
2,45,M,No
2,46,M,No
2,41,F,Yes
2,13,F,Yes
2,19,M,Yes
2,30,M,No
2,48,M,No
2,71,M,No
2,54,M,No
2,64,M,No
2,32,M,No
2,18,F,Yes
2,2,M,Yes
2,32,M,No
2,3,M,Yes
2,26,M,No
2,19,M,No
2,20,M,Yes
2,29,F,Yes
2,39,M,No
2,22,M,Yes
2,24,M,No
2,28,M,No
2,50,F,Yes
2,20,M,No
2,40,M,No
2,42,F,Yes
2,21,M,No
2,32,F,Yes
2,34,M,No
2,33,F,Yes
2,2,F,Yes
2,8,F,Yes
2,36,M,No
2,34,M,No
2,30,F,Yes
2,28,F,Yes
2,23,M,No
2,0.8,M,Yes
2,25,F,Yes
2,3,M,Yes
2,50,F,Yes
2,21,F,Yes
2,25,F,Yes
2,18,F,Yes
2,20,F,Yes
2,30,F,Yes
2,59,M,No
2,30,F,Yes
2,35,M,No
2,22,M,No
2,25,M,No
2,41,M,No
2,25,M,No
2,14,M,No
2,50,F,Yes
2,22,M,No
2,27,F,Yes
2,29,M,No
2,27,F,No
2,30,M,No
2,22,M,No
2,35,F,Yes
2,30,M,No
2,28,F,Yes
2,23,M,No
2,12,F,Yes
2,40,F,Yes
2,36,F,Yes
2,28,M,No
2,32,F,Yes
2,29,F,Yes
2,4,F,Yes
2,2,M,Yes
2,36,M,No
2,33,F,Yes
2,32,M,Yes
2,26,F,Yes
2,30,M,No
2,24,F,Yes
2,18,M,No
3,42,M,No
3,13,M,No
3,16,M,No
3,35,F,Yes
3,16,F,Yes
3,25,M,Yes
3,18,F,Yes
3,20,M,Yes
3,30,M,No
3,26,M,No
3,40,F,No
3,24,M,No
3,41,M,No
3,18,F,Yes
3,0.83,M,Yes
3,23,M,No
3,20,M,No
3,25,M,No
3,35,M,No
3,17,M,No
3,32,M,No
3,20,M,No
3,39,M,No
3,39,F,No
3,6,F,No
3,2,F,No
3,17,F,Yes
3,38,F,No
3,9,F,No
3,26,M,No
3,11,F,No
3,4,M,No
3,20,M,No
3,26,M,No
3,25,M,No
3,18,F,No
3,24,M,No
3,35,M,No
3,40,M,No
3,38,F,Yes
3,5,M,No
3,9,M,No
3,3,M,Yes
3,13,M,No
3,23,M,Yes
3,5,F,Yes
3,45,F,Yes
3,23,M,No
3,17,F,No
3,27,M,No
3,23,M,No
3,20,M,No
3,32,M,No
3,33,F,Yes
3,3,F,Yes
3,18,F,Yes
3,40,M,No
3,26,M,No
3,15,F,Yes
3,45,F,No
3,18,F,No
3,27,F,No
3,22,M,No
3,19,M,No
3,26,M,No
3,22,M,No
3,20,M,No
3,32,M,Yes
3,21,M,No
3,18,M,No
3,26,M,No
3,6,M,No
3,9,F,No
3,40,M,No
3,32,F,No
3,26,M,No
3,18,F,Yes
3,20,F,No
3,29,M,No
3,22,M,No
3,22,M,No
3,35,M,No
3,21,M,Yes
3,20,F,No
3,19,M,No
3,18,F,No
3,18,M,No
3,38,M,No
3,30,M,No
3,17,M,No
3,21,F,No
3,21,M,No
3,21,M,No
3,24,M,No
3,33,M,No
3,33,M,No
3,28,M,No
3,16,F,Yes
3,37,F,No
3,28,M,No
3,24,M,No
3,21,M,No
3,32,M,No
3,29,M,No
3,26,M,No
3,18,M,No
3,20,M,No
3,19,M,Yes
3,24,M,No
3,24,M,No
3,36,M,No
3,31,M,No
3,31,M,No
3,30,F,No
3,22,F,Yes
3,43,M,No
3,35,M,No
3,27,M,No
3,19,M,No
3,30,M,No
3,36,F,Yes
3,3,M,Yes
3,9,M,Yes
3,59,M,No
3,19,M,No
3,44,M,No
3,17,F,Yes
3,45,M,Yes
3,22,F,No
3,19,M,No
3,29,M,Yes
3,30,F,Yes
3,34,M,No
3,28,F,No
