Ht,Wt,yd40,Vertical,Bench,BroadJump,Cone3,Shuttle,Draftedyes
-0.05226864,-0.831017745,-0.991968003,0.794761729,-0.177553531,0.516261621,-1.510862304,-1.294990588,1
-2.148352581,-1.244124361,-0.424150206,0.674602396,-1.201774364,-0.332648943,-0.600428449,-0.264094682,0
0.995773331,1.69110686,1.626302949,-0.887468929,1.139301825,-1.181559506,1.636637597,1.59151795,1
1.347915433,1.278000244,1.847120981,-1.127787595,1.285619087,-1.712128608,2.312959889,0.972980406,0
1.695865367,1.69110686,2.288757045,-1.007628262,-0.616505317,-1.181559506,-0.704478032,2.704885529,0
-1.796210479,-1.222381908,-0.802695404,0.554443063,-0.177553531,0.940716902,-0.444354073,-0.552745535,0
0.647823396,1.538909686,1.342394051,-0.767309597,1.285619087,-1.712128608,2.286947494,1.92140464,0
-0.05226864,-0.570108303,-1.023513436,1.515717725,0.261398254,1.365172184,0.388042595,-0.140387173,0
2.043815301,1.560652139,1.373939484,-1.36810626,1.285619087,-1.075445685,1.29847645,1.055452079,1
1.347915433,1.930273848,1.752484682,-0.526990931,0.70035004,-1.712128608,1.090377283,1.838932968,1
-0.05226864,1.343227604,1.121576019,-1.36810626,0.407715516,-1.393787147,0.596141762,1.055452079,0
0.647823396,0.82140872,-0.392604773,0.193965065,0.115080992,0.622375441,-0.366316886,-0.800160553,1
1.347915433,0.299589837,0.23830389,-0.406831598,-0.031236269,0.4101478,-1.09466397,-0.38780219,0
-0.748168508,0.082165302,1.594757516,-1.728584259,-0.762822578,-1.712128608,0.9863277,0.478150371,0
-1.100310611,-0.352683768,0.049031291,-0.526990931,-0.177553531,-1.075445685,0.179943428,0.560622044,0
0.647823396,1.908531395,2.478029644,-2.089062257,0.846667301,-1.606014787,2.443021869,2.003876313,0
0.299873462,-0.504880942,-0.708059105,1.635877058,-0.616505317,1.683513645,-0.938589595,-0.758924717,0
-1.448260545,-1.178897001,-0.676513671,-0.286672266,-0.323870793,0.834603082,-0.964601991,-0.552745535,0
-1.448260545,-1.222381908,-1.212786035,0.794761729,-0.470188055,1.046830723,-1.302763137,-1.707348951,0
-0.05226864,-0.157001687,0.679939954,-0.166512933,-0.616505317,-0.757104224,-0.262267302,-0.635217208,0
-0.748168508,-0.504880942,-0.203332174,-0.166512933,-1.933360673,-1.924356249,-0.132205323,-0.264094682,0
1.347915433,1.19103043,0.364485623,-0.286672266,0.70035004,-0.650990404,1.090377283,0.560622044,0
-0.748168508,-0.852760198,-0.676513671,1.155239727,0.115080992,0.4101478,-0.574416053,-0.923868062,1
-1.100310611,-0.396168675,-0.455695639,0.314124398,-0.323870793,0.197920159,0.622154158,0.148263681,1
-0.05226864,-0.026546966,-0.014059575,-0.166512933,0.70035004,0.197920159,0.283993011,-0.181623009,1
0.299873462,1.473682325,0.995394286,-0.767309597,1.139301825,-1.606014787,0.934302908,1.137923751,0
-1.100310611,-0.983214919,-0.676513671,0.674602396,-0.616505317,0.197920159,-1.09466397,-1.088811407,0
0.995773331,0.734438906,0.774576254,-0.526990931,0.846667301,-0.120421302,-0.21024251,0.230735353,0
-0.05226864,-1.026699826,-0.96042257,0.434283731,-0.177553531,1.259058363,-1.042639178,-0.38780219,1
-1.448260545,-1.11366964,-0.487241072,0.554443063,-0.323870793,-0.014307481,-0.496378865,-0.882632226,0
-1.448260545,-1.11366964,-1.086604302,1.155239727,-0.90913984,0.728489261,-0.418341677,-0.717688881,1
-0.748168508,-0.852760198,-0.802695404,1.27539906,0.115080992,1.152944543,-1.016626783,-1.130047243,1
0.299873462,0.190877569,-0.581877372,1.635877058,0.554032778,1.471286004,-1.276750741,-0.882632226,1
-0.05226864,-0.330941315,0.143667591,-0.406831598,-0.762822578,-0.014307481,0.10190624,-0.0579155,0
-1.100310611,-1.157154547,-0.644968238,0.073805732,-0.762822578,0.728489261,0.726203741,0.27197119,0
-0.748168508,-0.852760198,-0.108695875,0.554443063,-1.640726149,0.834603082,-0.158217719,-0.758924717,0
-1.448260545,-0.722305477,1.689393815,-0.767309597,-1.055457102,-1.499900967,0.622154158,1.220395424,0
1.347915433,1.451939872,2.288757045,-1.728584259,0.407715516,-1.712128608,2.469034265,2.168819658,0
-0.05226864,-0.222229047,-0.897331703,1.515717725,1.431936349,0.940716902,-0.704478032,-1.253754752,0
-0.05226864,-0.939730012,-1.149695169,0.314124398,-1.055457102,0.834603082,-0.314292094,0.024556172,1
-0.05226864,-0.157001687,0.301394756,0.554443063,0.70035004,-0.438762763,-0.158217719,-0.264094682,0
-2.148352581,-0.765790384,-0.834240837,0.193965065,-0.470188055,0.30403398,-1.198713554,-1.913528132,1
0.299873462,0.299589837,1.310848618,-1.127787595,-0.616505317,-1.075445685,1.454550826,1.137923751,0
-0.05226864,-0.700563024,0.049031291,0.314124398,-1.201774364,0.30403398,-1.276750741,-1.006339734,0
-1.448260545,-0.983214919,-0.613422805,-0.0463536,-1.055457102,-0.014307481,0.257980615,-0.511509699,0
0.995773331,-0.461396035,-1.055058869,1.035080394,-0.762822578,0.940716902,-1.276750741,-0.635217208,1
0.299873462,0.364817197,-0.234877607,-0.0463536,1.285619087,-0.863218045,-0.730490428,-0.552745535,1
1.347915433,1.69110686,0.33294019,-0.767309597,2.456157181,0.091806339,0.205955824,-0.222858845,1
0.299873462,-0.831017745,0.017485858,-0.647150264,-2.225995197,0.622375441,-0.912577199,0.024556172,0
-0.05226864,-0.591850756,-1.212786035,1.395558393,0.70035004,1.789627465,-0.34030449,-1.83105646,0
-0.05226864,0.190877569,-0.203332174,-0.166512933,-0.762822578,-0.332648943,-0.21024251,0.024556172,0
-1.448260545,-1.178897001,-0.676513671,0.434283731,-1.055457102,-0.014307481,-1.484849908,-1.294990588,0
0.299873462,1.538909686,1.53166665,-1.488265593,1.724570872,-1.499900967,0.934302908,0.972980406,0
1.347915433,1.734591767,2.162575313,-2.20922159,-0.616505317,-1.499900967,2.078848327,1.632753786,0
0.647823396,1.364970058,1.090030585,-0.0463536,2.017205396,-0.757104224,0.153931032,0.313207026,1
-0.748168508,-0.896245105,-0.455695639,-0.526990931,-1.201774364,0.30403398,-0.65245324,-1.336226424,0
-0.05226864,-0.765790384,-0.644968238,0.314124398,-0.031236269,0.091806339,-0.574416053,-0.800160553,1
-0.748168508,-0.831017745,-0.171786741,-0.767309597,-0.762822578,0.091806339,0.336017803,0.354442862,0
1.695865367,0.190877569,-0.581877372,1.035080394,-0.323870793,0.091806339,-0.834540011,-1.047575571,0
0.647823396,-0.222229047,-1.086604302,0.193965065,-0.031236269,1.046830723,-0.392329282,-0.181623009,1
-2.148352581,-1.026699826,-0.644968238,-1.36810626,-0.90913984,-0.650990404,-0.054168135,0.519386207,0
0.995773331,1.647621953,1.752484682,-1.488265593,-0.031236269,-1.075445685,0.960315304,1.673989623,0
-0.05226864,0.560499279,0.33294019,0.314124398,1.285619087,-0.120421302,-0.054168135,-0.38780219,1
-0.748168508,-0.17874414,-0.581877372,1.515717725,-0.031236269,0.4101478,-0.184230115,-0.717688881,0
0.647823396,-0.439653582,0.143667591,-0.0463536,-0.470188055,0.622375441,-0.522391261,-0.140387173,0
-0.748168508,-1.026699826,-1.181240602,0.554443063,-0.90913984,1.152944543,-0.886564803,-0.965103898,0
