printer,cost
BrandA,928.99
BrandA,876.27
BrandA,969.2
BrandA,1029.18
BrandA,971.48
BrandA,799.7
BrandA,1041.84
BrandA,951.97
BrandA,893.23
BrandA,948.13
BrandA,919.22
BrandA,1022.44
BrandA,963.21
BrandA,958.17
BrandA,949.58
BrandB,1507.64
BrandB,1424.46
BrandB,1415.72
BrandB,1487.67
BrandB,1449.46
BrandB,1469.41
BrandB,1463.24
BrandB,1512.38
BrandB,1510.49
BrandB,1465.61
BrandB,1457.52
BrandB,1504.08
BrandB,1508.26
BrandB,1391.32
BrandB,1469.09
BrandC,1060.72
BrandC,1082.37
BrandC,1226.39
BrandC,1187.68
BrandC,1029.9
BrandC,1147.7
BrandC,1210.66
BrandC,1087.7
BrandC,1103.19
BrandC,1118.53
BrandC,1217.29
BrandC,1240.84
BrandC,1130.06
BrandC,1260.42
BrandC,1195.53
