N,P,K,Soil_pH,Soil_Moisture,Soil_Type,Organic_Carbon,Temperature,Humidity,Rainfall,Sunlight_Hours,Wind_Speed,Region,Altitude,Season,Crop_Type,Irrigation_Type,Fertilizer_Used,Pesticide_Used,Crop_Yield_ton_per_hectare,r
136,96,113,4.83,42.97,Silt,0.45,18.59,31.89,607.18,8.75,5.49,East,765,Kharif,Sugarcane,Rainfed,274.02,2.72,72.53,0.5986584841970366
117,90,86,7.21,26.91,Clay,1.29,15.14,42.03,1045.25,7.24,10.21,North,57,Rabi,Sugarcane,Sprinkler,231.33,21.83,75.1,0.7080725777960455
51,39,65,5.59,48.78,Clay,1.0,15.43,69.11,1501.43,8.06,9.42,West,1681,Zaid,Sugarcane,Canal,235.21,8.19,75.13,0.29214464853521815
44,57,20,5.85,53.12,Silt,0.64,28.84,52.07,1108.74,6.29,2.15,Central,1601,Kharif,Sugarcane,Rainfed,225.57,9.48,73.6,0.19967378215835974
137,51,80,6.82,18.55,Clay,1.3,26.05,71.88,474.07,7.04,3.9,Central,2022,Zaid,Sugarcane,Sprinkler,304.68,3.39,75.45,0.5924145688620425
160,61,33,6.14,25.82,Loamy,1.55,33.42,64.94,847.42,9.09,2.87,East,523,Kharif,Sugarcane,Rainfed,326.09,11.65,75.78,0.17052412368729153
164,28,96,6.2,25.98,Clay,0.35,37.91,67.63,307.14,10.05,12.58,Central,1412,Zaid,Sugarcane,Drip,128.45,17.69,73.16,0.9488855372533332
119,44,57,4.9,53.76,Clay,1.21,24.54,57.36,1770.52,4.46,10.31,East,925,Kharif,Sugarcane,Sprinkler,321.39,2.99,75.51,0.034388521115218396
33,56,124,7.85,52.15,Loamy,0.53,28.77,77.68,401.03,6.06,3.49,North,956,Rabi,Sugarcane,Sprinkler,267.4,6.63,75.98,0.045227288910538066
69,77,101,5.91,38.85,Silt,1.17,30.03,88.5,2119.33,8.29,7.0,West,101,Rabi,Sugarcane,Drip,349.95,13.98,77.11,0.14092422497476265
82,71,20,5.62,62.86,Sandy,0.98,20.47,63.3,955.52,6.12,11.49,South,298,Zaid,Sugarcane,Rainfed,126.04,1.2,73.72,0.9868869366005173
153,57,84,6.06,49.09,Sandy,0.52,38.02,81.34,1220.4,10.73,5.27,West,52,Kharif,Sugarcane,Drip,113.85,5.45,74.59,0.1987156815341724
44,56,144,5.56,19.32,Loamy,1.4,20.14,55.7,2352.53,4.82,1.91,Central,1389,Zaid,Sugarcane,Sprinkler,308.0,24.3,76.42,0.8154614284548342
57,42,67,7.48,49.9,Sandy,0.84,12.74,75.01,1853.02,8.93,9.45,South,1187,Kharif,Sugarcane,Canal,221.51,16.22,74.67,0.1195942459383017
164,40,21,5.85,62.79,Silt,0.72,23.02,89.59,2353.06,9.35,3.87,South,338,Kharif,Sugarcane,Canal,184.6,14.89,76.56,0.713244787222995
133,69,61,6.65,48.64,Clay,0.87,21.89,80.29,2752.35,6.51,7.7,Central,508,Zaid,Sugarcane,Rainfed,277.19,9.76,79.11,0.10789142699330445
64,37,29,4.83,56.81,Loamy,0.86,33.28,84.85,756.79,5.72,15.25,North,487,Kharif,Sugarcane,Drip,231.42,17.94,72.4,0.03142918568673425
130,48,52,6.13,51.52,Sandy,1.39,21.64,47.94,1702.9,9.62,10.23,South,881,Rabi,Sugarcane,Canal,231.63,18.41,76.07,0.6364104112637804
160,83,88,7.88,30.99,Clay,0.63,30.96,84.17,2550.33,7.73,9.78,East,51,Zaid,Sugarcane,Drip,136.05,8.1,75.77,0.3143559810763267
71,59,102,8.04,36.72,Sandy,0.81,19.91,42.58,1127.52,7.97,10.56,East,189,Kharif,Sugarcane,Rainfed,294.99,19.36,74.92,0.16122128725400442
81,51,122,5.66,29.7,Sandy,0.88,13.35,34.86,1973.26,8.23,15.81,East,107,Rabi,Sugarcane,Canal,113.86,14.16,74.61,0.8714605901877177
65,17,48,7.59,15.26,Silt,1.15,15.77,37.46,1307.37,10.81,7.24,Central,463,Zaid,Sugarcane,Sprinkler,163.81,8.88,72.39,0.8074401551640625
157,67,76,6.66,58.05,Silt,1.39,25.96,88.96,1273.23,9.99,12.77,West,1525,Kharif,Sugarcane,Drip,156.84,23.93,75.33,0.5187906217433661
121,67,132,6.71,19.78,Silt,0.87,24.76,32.91,1550.12,5.77,4.13,Central,530,Zaid,Sugarcane,Drip,266.12,0.95,76.18,0.7030189588951778
91,40,110,8.2,60.36,Loamy,1.16,13.55,47.31,2033.93,8.31,15.93,East,1385,Kharif,Sugarcane,Sprinkler,82.03,19.82,73.06,0.6095643339798968
88,43,62,7.31,17.88,Clay,0.73,24.46,66.24,1246.21,10.04,11.35,South,1885,Rabi,Sugarcane,Drip,348.62,5.93,74.43,0.05147875124998935
81,71,115,6.74,18.58,Sandy,0.72,22.99,81.97,847.13,5.76,9.53,East,785,Rabi,Sugarcane,Sprinkler,221.81,24.89,74.83,0.489452760277563
41,17,77,5.8,16.6,Clay,1.37,22.83,79.04,2618.96,10.02,9.23,East,1957,Zaid,Sugarcane,Rainfed,191.63,14.51,75.41,0.9856504541106007
68,32,115,5.62,24.88,Clay,1.19,30.57,42.3,2619.5,4.52,10.32,North,571,Rabi,Sugarcane,Rainfed,247.88,17.26,77.75,0.2420552715115004
82,25,106,4.91,40.72,Loamy,1.24,31.16,47.17,340.72,5.14,12.33,West,759,Rabi,Sugarcane,Drip,309.74,24.12,73.9,0.016587828927856152
152,91,75,5.79,57.19,Clay,1.54,14.14,31.2,484.07,7.96,9.1,West,1188,Rabi,Sugarcane,Sprinkler,227.1,23.98,75.04,0.22649577519793795
153,26,147,4.83,21.68,Silt,0.67,32.13,49.45,1843.19,10.29,3.64,West,687,Zaid,Sugarcane,Canal,327.48,2.96,75.59,0.877339353380981
125,18,131,5.05,58.9,Sandy,0.97,38.67,58.18,2368.73,6.62,12.35,North,1542,Kharif,Sugarcane,Drip,224.68,11.91,76.2,0.9004180571633305
31,43,62,7.76,18.93,Loamy,0.4,27.81,77.87,845.38,10.7,4.75,South,1301,Kharif,Sugarcane,Sprinkler,85.82,7.36,72.95,0.005061583846218687
77,37,33,7.57,16.02,Loamy,0.78,25.93,76.87,1666.87,5.9,13.48,Central,124,Kharif,Sugarcane,Drip,219.79,6.92,72.89,0.5487337893665861
128,42,20,6.38,22.83,Sandy,1.58,13.1,62.0,2785.99,9.15,3.66,South,1342,Kharif,Sugarcane,Rainfed,221.57,22.32,76.17,0.7121792213475359
77,24,84,6.25,63.51,Loamy,0.51,13.08,37.39,1260.54,5.57,9.12,West,717,Zaid,Sugarcane,Drip,72.7,0.82,74.25,0.3253996981592677
160,61,144,6.85,23.03,Sandy,1.42,21.77,41.65,655.48,4.78,15.1,North,376,Kharif,Sugarcane,Sprinkler,228.91,18.94,74.93,0.7464914051180241
