player,player_id,position,min,fgm,fga,2pm,2pa,3pm,3pa,ftm,fta,oreb,dreb,reb,ast,stl,blk,to,pf,pts,games_played,pts_pg,reb_pg,ast_pg,stl_pg,blk_pg,fg_pct,3p_pct,ft_pct
TEAM,TOTAL,TOTAL,0.0,996,2169,736,1367,260,802,570,770,349,956,1305,518,277,203,423,593,2822,37,76.3,35.3,14.0,7.5,5.5,45.9,32.4,74.0
A. Thiero,5060631,F,742.0,138,253,127,210,11,43,120,175,48,109,157,51,44,20,46,69,407,27,15.1,5.8,1.9,1.6,0.7,54.5,25.6,68.6
E. Cato,4897019,F,33.0,4,11,4,6,0,5,7,8,0,2,2,0,0,1,1,3,15,1,15.0,2.0,0.0,0.0,1.0,36.4,0.0,87.5
B. Fland,5238195,G,666.0,96,253,60,147,36,106,55,66,10,58,68,108,32,1,29,37,283,21,13.5,3.2,5.1,1.5,0.0,37.9,34.0,83.3
L. Taylor,5239783,G,36.0,5,13,2,5,3,8,0,0,0,3,3,3,0,0,2,1,13,1,13.0,3.0,3.0,0.0,0.0,38.5,37.5,
J. Davis,4702655,G,1076.0,133,341,76,167,57,174,84,97,24,92,116,54,49,6,50,76,407,34,12.0,3.4,1.6,1.4,0.2,39.0,32.8,86.6
B. Fox,5175861,G,30.0,2,7,0,1,2,6,6,8,0,2,2,0,0,0,0,2,12,1,12.0,2.0,0.0,0.0,0.0,28.6,33.3,75.0
D.J. Wagner,4683777,G,1247.0,147,367,106,232,41,135,67,82,11,86,97,131,35,2,80,51,402,36,11.2,2.7,3.6,1.0,0.1,40.1,30.4,81.7
B. Fagbemi,5239775,G,35.0,3,11,1,6,2,5,1,2,2,0,2,2,3,0,2,0,9,1,9.0,2.0,2.0,3.0,0.0,27.3,40.0,50.0
Z. Ivisic,5174665,C,667.0,105,222,58,97,47,125,42,58,27,124,151,28,23,66,49,71,299,35,8.5,4.3,0.8,0.7,1.9,47.3,37.6,72.4
K. Knox,4869777,G,862.0,96,208,61,108,35,100,73,91,24,95,119,37,21,17,41,68,300,36,8.3,3.3,1.0,0.6,0.5,46.2,35.0,80.2
J. Aidoo,4684682,F,626.0,90,158,90,151,0,7,47,76,52,113,165,27,22,37,30,62,227,33,6.9,5.0,0.8,0.7,1.1,57.0,0.0,61.8
T. Brazile,4698719,F,711.0,90,150,66,84,24,66,27,51,51,133,184,24,26,38,35,75,231,34,6.8,5.4,0.7,0.8,1.1,60.0,36.4,52.9
B. Richmond III,5060732,G,631.0,81,155,79,139,2,16,41,56,35,72,107,49,19,15,45,73,205,36,5.7,3.0,1.4,0.5,0.4,52.3,12.5,73.2
C. McCormick,5239782,F,16.0,2,5,2,2,0,3,0,0,0,1,1,0,2,0,1,1,4,1,4.0,1.0,0.0,2.0,0.0,40.0,0.0,
M. Evbagharu,5177167,G,18.0,2,6,2,5,0,1,0,0,1,4,5,2,0,0,0,1,4,1,4.0,5.0,2.0,0.0,0.0,33.3,0.0,
C. Chavis,5183293,G,6.0,1,3,1,3,0,0,0,0,0,1,1,0,0,0,1,0,2,1,2.0,1.0,0.0,0.0,0.0,33.3,,
A. Kelley,5238196,G,3.0,1,3,1,2,0,1,0,0,1,0,1,0,0,0,0,0,2,2,1.0,0.5,0.0,0.0,0.0,33.3,0.0,
D. Seixas,5176256,F,6.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0.0,1.0,0.0,0.0,0.0,,,
E. Thomas,5239781,G,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,,,
J. Karuletwa,5238194,G,5.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,,
K. Watkins,4702469,G,5.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0.0,0.3,0.3,0.0,0.0,,,
M. Sanchez,5116128,G,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
N. Turner,5239776,F,8.0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0.0,1.0,1.0,0.0,0.0,0.0,,
O. Derhmann,5239778,G,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,,,
U. Etim,5108048,C,16.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0.0,1.0,0.0,1.0,0.0,,,
