 ,  ,   ,    ,     ,      ,       ,        ,         ,          ,           ,
"Baseball: (Minor League Baseball) Total Fan Market Profile",,,,,,,,,,,
,,,,,,,,,,,
Item,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
"TOTAL FANS/AVIDITY",,,,,,,,,,,
"Total Number of Fans Age 13+ (View and/or Attend - add ,000)  ","31,886","31,209","32,778","30,814","29,151","26,763","22,444","11,804","22,238","29,386",
"Total Number Attending Games (add ,000)","22,330","19,287","17,527","17,774","16,282","14,541","14,275","---","8,740","12,630",
"% of Attendees who Attended.","49.8","48.5","59.5","46.0","54.6","53.6","54.2","---","39.3","36.5",
"% of Attendees who Attended 4+ Times/yr.","17.2","17.2","20.7","18.5","18.7","18.8","16.2","---","25.0","20.6",
"Total Number Viewing on TV (add 000)","12,274","13,177","16,759","14,889","14,586","13,978","10,083","10,757","16,503","20,929",
"% of TV Viewers who Viewed More Than 2-5/yr.","58.1","62.6","57.3","56.8","64.3","70.1","53.5","47.6","55.6","49.1",
"% of TV Viewers who Viewed 6+ Times/yr.","10.6","12.0","12.1","9.8","18.2","15.1","7.6","26.4","16.2","13.3",
"Number of TV Viewers Viewed at Least One Game Traditionally (Directly from TV) (add ,000)","n/a","n/a","n/a","n/a","13,053","11,928","8,827","8,660","12,354","15,159",
"Number of TV Viewers Who Streamed (add ,000)","n/a","n/a","n/a","n/a","3,360","4,726","1,827","5,050","---","3,289",
"% of all TV Viewers Who Streamed ","n/a","n/a","n/a","n/a","23.0","33.8","18.1","42.8","29.5","21.7",
" ------------------------DEMOGRAPHICS Base for Percentage is Total Minor League Baseball Fans (Viewed and/or Attended a Minor League Baseball Game in past year) Age 13+ ",,,,,,,,,,,
"MEDIAN AGE BY FAN MARKET SEGMENT",,,,,,,,,,,
"All Fans","45.0","43.0","42.0","46.0","46.0","48.0","47.0","40.0","44.0","43.0",
"Attended at Least One Minor League Baseball Game","45.0","42.0","42.0","46.0","48.0","49.0","48.0","---","45.0","45.0",
"Attended 4+ Minor League Baseball Games","50.0","44.0","42.0","44.0","49.0","48.0","49.0","---","49.0","53.0",
"Viewed at Least One Minor League Baseball Game On TV","44.0","47.0","41.0","46.0","45.0","46.0","45.0","39.0","47.0","44.0",
"Viewed 6+ Minor League Baseball Games on TV","55.0","53.0","47.0","53.0","46.0","38.0","50.0","39.0","49.0","42.0",
"Followed Minor League Baseball On Facebook","35.0","34.0","34.0","33.0","37.0","38.0","36.0","38.0","37.0","40.0",
"Followed Minor League Baseball On X (formerly Twitter)","32.0","30.0","33.0","34.0","36.0","37.0","36.0","38.0","35.0","36.0",
"Purchased Minor League Baseball Logo Apparel","43.0","44.0","42.0","41.0","45.0","39.0","39.0","38.0","39.0","43.0",
"MEDIAN HH INCOME BY FAN MARKET SEGMENT",,,,,,,,,,,
"All Fans","$65,500","$65,500","$68,500","$72,800","$76,700","$84,500","$83,200","$101,000","$77,000","$81,500",
"Attended at Least One Minor League Baseball Game","$70,500","$74,300","$80,400","$82,600","$88,400","$92,100","$93,100","---","$91,100","$91,500",
"Attended 4+ Minor League Baseball Games","$73,300","$54,500","$81,100","$82,800","$83,600","$94,100","$107,100","---","$90,900","$83,700",
"Viewed at Least One Minor League Baseball Game On TV","$55,300","$51,800","$61,100","$66,600","$69,100","$76,900","$76,700","$99,300","$69,800","$71,700",
"Viewed 6+ Minor League Baseball Games on TV","$54,600","$52,300","$48,500","$57,400","$66,900","$77,500","$88,400","$122,300","$92,900","$77,600",
"Followed Minor League Baseball On Facebook","$57,100","$60,700","$63,500","$58,600","$71,400","$83,500","$70,200","$125,800","$77,800","$79,100",
"Followed Minor League Baseball On X (formerly Twitter)","$60,800","$72,500","$75,700","$73,800","$69,900","$87,600","$78,400","$140,900","$84,500","$78,700",
"Purchased Minor League Baseball Logo Apparel","$68,000","$67,300","$74,900","$76,300","$82,000","$89,400","$91,500","$134,600","$97,800","$98,600",
"SOCIAL MEDIA USAGE",,,,,,,,,,,
"Follow Minor League Baseball on Facebook - Total all Followers (add 000) ","6,617","8,401","12,273","9,191","9,427","9,251","6,312","7,488","10,658","12,679	",
"Follow Minor League Baseball on X (formerly Twitter) - Total all Followers (add 000)","2,647","4,552","7,110","4,938","5,069","5,554","3,881","5,905","6,718","9,612	",
"PURCHASING: SPORTS LOGO APPAREL",,,,,,,,,,,
"Expenditures for Sports Logo Apparel (add 000)","$191,561","$163,634","$222,641","$225,899","$232,370","$259,555","$156,797","$149,363","$130,543","$189,128",
"% of All Fans Purchased Sports Logo Apparel","19.3","16.7","16.8","19.5","17.2","23.0","15.7","27.3","15.4","12.5",
"Source: SBRnet, Inc., 2025. All Rights Reserved.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Baseball: (Minor League Baseball) Sponsorship Influence Index",,,,,,,,,,,
,,,,,,,,,,,
Item,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
"The SPONSORSHIP INFLUENCE INDEX is based on a question whereby fans were asked how influential sport sponsorships are to their inclination to purchase the sponsor's product. Answers for all fans are shown below.",,,,,,,,,,,
"CONSUMER RATING OF INFLUENCE OF SPORT SPONSORSHIP ON PURCHASE OF SPONSOR'S PRODUCT",,,,,,,,,,,
"Base (Total No. of Minor League Baseball Fans - add ,000)","31,886","31,209","32,778","30,814","29,151","26,763","22,444","11,804","22,238","29,386",
"% Saying Sport Sponsorship is Extremely Influential","2.7","1.8","5.2","4.9","3.5","5.7","4.5","16.6","6.0","7.1",
"% Saying Sport Sponsorship is Very Influential","5.6","8.0","11.2","6.9","8.7","11.2","7.6","19.2","13.4","12.7",
"% Saying Sport Sponsorship is Moderately Influential","17.5","18.2","21.9","21.2","17.0","17.4","16.2","22.2","24.8","22.5",
"% Saying Sport Sponsorship is Slightly Influential","17.2","18.6","18.7","13.7","16.4","18.9","12.7","16.2","16.5","17.3",
"% Saying Sport Sponsorship is Not at All Influential","57.1","53.4","43.0","53.4","54.4","46.7","59.0","26.0","39.3","40.3",
"Total","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0",
"The INDEX reflects the relationship between highly favorable attitudes (those who indicated they were ",,,,,,,,,,,
"For example, 11.8% of all fans said extremely or very, vs. 18.5% among fans between the ages of 18 and 24. Therefore the INDEX for 18-24-year-old fans is 156.",,,,,,,,,,,
"Source: SBRnet, Inc., 2025. All Rights Reserved.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
