Item,Train_R2,Test_R2,Train_Size,Test_Size,Feature_Importance_Year
Item,0.9962524500632122,0.9615431666666787,13,7,1.0
"Total Number of Fans Age 13+ (View and/or Attend - add ,000)  ",0.8983946030035183,0.952774813857154,8,2,1.0
Followed Minor League Baseball On X (formerly Twitter),0.9598339999999999,0.6415597692307693,7,3,1.0
% Saying Sport Sponsorship is Extremely Influential,0.7600511849186735,0.34398102442635003,7,3,1.0
"Base (Total No. of Minor League Baseball Fans - add ,000)",0.9263496651609463,0.2780553076458384,5,5,1.0
Followed Minor League Baseball On Facebook,0.8487285999999998,-0.0863219999999989,7,3,1.0
% of TV Viewers who Viewed More Than 2-5/yr.,0.8924579539030209,-0.12240168240154126,8,2,1.0
Follow Minor League Baseball on X (formerly Twitter) - Total all Followers (add 000),0.7819088702210512,-0.2713352061648149,7,3,1.0
Viewed 6+ Minor League Baseball Games on TV,0.8615664353312305,-0.3544064921465979,5,5,1.0
% Saying Sport Sponsorship is Not at All Influential,0.8288419149779737,-0.4239290358019199,6,4,1.0
% Saying Sport Sponsorship is Very Influential,0.8686083958436372,-0.5079522252834463,6,4,1.0
% Saying Sport Sponsorship is Moderately Influential,0.961211002830671,-1.403016650302868,6,4,1.0
Total Number Viewing on TV (add 000),0.8252096606284776,-1.535524194716245,5,5,1.0
% of TV Viewers who Viewed 6+ Times/yr.,0.6077734276346134,-5.6633849646080945,5,5,1.0
% of All Fans Purchased Sports Logo Apparel,0.8015961030900702,-8.755202098765446,8,2,1.0
All Fans,0.8669817096774195,-9.206599142857147,7,3,1.0
Follow Minor League Baseball on Facebook - Total all Followers (add 000) ,0.7928812786040769,-16.61445080049606,6,4,1.0
Viewed at Least One Minor League Baseball Game On TV,0.6720349218750004,-23.27422285714287,5,5,1.0
